Size,Repeat,Independent Chains,Time (ns)
16384,32,1,1.399728775024414
16384,32,1,1.5240402221679688
16384,32,1,1.4158744812011719
16384,32,1,1.399087905883789
16384,32,1,1.3978500366210938
16384,32,1,1.4074478149414062
16384,32,1,1.4066162109375
16384,32,1,1.4070301055908203
16384,32,1,1.416748046875
16384,32,1,1.4146709442138672
16384,32,1,1.4028148651123047
16384,32,1,1.4100074768066406
16384,32,1,1.4194087982177734
16384,32,1,1.4055461883544922
16384,32,1,1.4122238159179688
16384,32,1,1.4166755676269531
16384,32,1,1.677743911743164
16384,32,1,1.4026527404785156
16384,32,1,1.4066619873046875
16384,32,1,1.432474136352539
16384,32,1,1.411886215209961
16384,32,1,1.4567832946777344
16384,32,1,1.4076156616210938
16384,32,1,1.4184761047363281
16384,32,1,1.4078941345214844
16384,32,1,1.535104751586914
16384,32,1,1.4086627960205078
16384,32,1,1.4065742492675781
16384,32,1,1.415008544921875
16384,32,1,22.304080963134766
16384,32,2,2.730915069580078
16384,32,2,2.7374305725097656
16384,32,2,2.717683792114258
16384,32,2,2.7077579498291016
16384,32,2,2.7165756225585938
16384,32,2,2.721364974975586
16384,32,2,2.768941879272461
16384,32,2,2.735057830810547
16384,32,2,3.1286277770996094
16384,32,2,2.7128467559814453
16384,32,2,3.087850570678711
16384,32,2,2.727436065673828
16384,32,2,2.7487926483154297
16384,32,2,2.7190418243408203
16384,32,2,2.7346668243408203
16384,32,2,2.723966598510742
16384,32,2,2.8130245208740234
16384,32,2,3.070262908935547
16384,32,2,11.112899780273438
16384,32,2,2.941457748413086
16384,32,2,3.032747268676758
16384,32,2,3.123147964477539
16384,32,2,2.737516403198242
16384,32,2,2.935422897338867
16384,32,2,2.7347068786621094
16384,32,2,2.7385501861572266
16384,32,2,2.7182064056396484
16384,32,2,2.713775634765625
16384,32,2,2.7316646575927734
16384,32,2,2.7368202209472656
16384,32,3,4.031160354614258
16384,32,3,4.049589157104492
16384,32,3,4.259241104125977
16384,32,3,4.0333404541015625
16384,32,3,4.015485763549805
16384,32,3,4.043249130249023
16384,32,3,4.152658462524414
16384,32,3,4.063175201416016
16384,32,3,4.069478988647461
16384,32,3,4.057977676391602
16384,32,3,4.283977508544922
16384,32,3,4.016855239868164
16384,32,3,4.0405426025390625
16384,32,3,4.030729293823242
16384,32,3,4.287693023681641
16384,32,3,4.029628753662109
16384,32,3,4.007362365722656
16384,32,3,4.38578987121582
16384,32,3,4.3712615966796875
16384,32,3,4.078647613525391
16384,32,3,4.053140640258789
16384,32,3,4.078571319580078
16384,32,3,4.01634407043457
16384,32,3,4.051792144775391
16384,32,3,4.305793762207031
16384,32,3,4.742500305175781
16384,32,3,4.066326141357422
16384,32,3,4.050420761108398
16384,32,3,4.150154113769531
16384,32,3,4.419673919677734
16384,32,4,5.608388900756836
16384,32,4,5.638858795166016
16384,32,4,6.053821563720703
16384,32,4,5.840738296508789
16384,32,4,5.685701370239258
16384,32,4,5.647798538208008
16384,32,4,5.610326766967773
16384,32,4,5.596248626708984
16384,32,4,5.683290481567383
16384,32,4,5.712358474731445
16384,32,4,5.544273376464844
16384,32,4,5.696474075317383
16384,32,4,5.898458480834961
16384,32,4,5.849142074584961
16384,32,4,5.5827178955078125
16384,32,4,5.945438385009766
16384,32,4,5.831602096557617
16384,32,4,5.701299667358398
16384,32,4,5.748832702636719
16384,32,4,5.671289443969727
16384,32,4,5.672542572021484
16384,32,4,5.795232772827148
16384,32,4,5.690498352050781
