Size,Repeat,Independent Chains,Time (ns)
16384,32,1,0.4381694793701172
16384,32,1,0.4671192169189453
16384,32,1,0.45238494873046875
16384,32,1,0.45657920837402344
16384,32,1,0.4100799560546875
16384,32,1,0.3372364044189453
16384,32,1,0.41271400451660156
16384,32,1,0.4559040069580078
16384,32,1,0.42883872985839844
16384,32,1,0.3829059600830078
16384,32,1,0.38031578063964844
16384,32,1,0.45980262756347656
16384,32,1,0.30107688903808594
16384,32,1,0.41056060791015625
16384,32,1,0.35488128662109375
16384,32,1,0.30898475646972656
16384,32,1,0.4575634002685547
16384,32,1,0.4669322967529297
16384,32,1,0.4610881805419922
16384,32,1,0.4553642272949219
16384,32,1,0.4768657684326172
16384,32,1,0.3329143524169922
16384,32,1,0.26114654541015625
16384,32,1,0.4982624053955078
16384,32,1,0.4125080108642578
16384,32,1,0.4640178680419922
16384,32,1,0.4091453552246094
16384,32,1,0.4036579132080078
16384,32,1,0.4336872100830078
16384,32,1,0.3802337646484375
16384,32,1,0.40884971618652344
16384,32,1,0.25753021240234375
16384,32,1,0.45999717712402344
16384,32,1,0.47560691833496094
16384,32,1,0.41913604736328125
16384,32,1,0.43767356872558594
16384,32,1,0.45797157287597656
16384,32,1,0.46589088439941406
16384,32,1,0.3846149444580078
16384,32,1,0.41600990295410156
16384,32,1,0.4189453125
16384,32,1,0.40640830993652344
16384,32,1,0.5021266937255859
16384,32,1,0.4746971130371094
16384,32,1,0.268035888671875
16384,32,1,0.4409465789794922
16384,32,1,0.5236797332763672
16384,32,1,0.4676170349121094
16384,32,1,0.4364280700683594
16384,32,1,0.4069671630859375
16384,32,2,0.579803466796875
16384,32,2,0.5579986572265625
16384,32,2,0.3728218078613281
16384,32,2,0.5276947021484375
16384,32,2,0.5723991394042969
16384,32,2,0.42360496520996094
16384,32,2,0.5324764251708984
16384,32,2,0.5460109710693359
16384,32,2,0.5763435363769531
16384,32,2,0.5302066802978516
16384,32,2,0.5516548156738281
16384,32,2,0.3884754180908203
16384,32,2,0.4763164520263672
16384,32,2,0.3759593963623047
16384,32,2,0.45529747009277344
16384,32,2,0.5137863159179688
16384,32,2,0.37500953674316406
16384,32,2,0.569000244140625
16384,32,2,0.5638370513916016
16384,32,2,0.5714969635009766
16384,32,2,0.5285072326660156
16384,32,2,0.5111980438232422
16384,32,2,0.5796833038330078
16384,32,2,0.5131244659423828
16384,32,2,0.4590873718261719
16384,32,2,0.5774650573730469
16384,32,2,0.3733787536621094
16384,32,2,0.5547885894775391
16384,32,2,0.5316562652587891
16384,32,2,0.49655723571777344
16384,32,2,0.5299320220947266
16384,32,2,0.4379749298095703
16384,32,2,0.5656833648681641
16384,32,2,0.3860454559326172
16384,32,2,0.48212623596191406
16384,32,2,0.4353504180908203
16384,32,2,0.5319442749023438
16384,32,2,0.5781154632568359
16384,32,2,0.4769153594970703
16384,32,2,0.5764083862304688
16384,32,2,0.4885425567626953
16384,32,2,0.4071788787841797
16384,32,2,0.570953369140625
16384,32,2,0.5365467071533203
16384,32,2,0.5112781524658203
16384,32,2,0.5196647644042969
16384,32,2,0.5781269073486328
16384,32,2,0.48177146911621094
16384,32,2,0.4769115447998047
16384,32,2,0.5741958618164062
16384,32,3,0.7421875
16384,32,3,0.6882820129394531
16384,32,3,0.65838623046875
16384,32,3,0.6510486602783203
16384,32,3,0.7097339630126953
16384,32,3,0.6676464080810547
16384,32,3,0.6949214935302734
16384,32,3,0.6712493896484375
16384,32,3,0.6978950500488281
16384,32,3,0.6875267028808594
16384,32,3,0.6942596435546875
16384,32,3,0.6081523895263672
16384,32,3,0.56500244140625
16384,32,3,0.6987228393554688
16384,32,3,0.7288818359375
16384,32,3,0.6045951843261719
16384,32,3,0.7153358459472656
16384,32,3,0.7046089172363281
16384,32,3,0.6654777526855469
16384,32,3,0.6825408935546875
16384,32,3,0.7229213714599609
16384,32,3,0.6993808746337891
16384,32,3,0.614227294921875
16384,32,3,0.6750011444091797
16384,32,3,0.6222095489501953
16384,32,3,0.6959247589111328
16384,32,3,0.6931514739990234
16384,32,3,0.7130813598632812
16384,32,3,0.7177658081054688
16384,32,3,0.6993160247802734
16384,32,3,0.6473884582519531
16384,32,3,0.6149635314941406
16384,32,3,0.6261386871337891
16384,32,3,0.6935386657714844
16384,32,3,0.5458049774169922
16384,32,3,0.6271495819091797
16384,32,3,0.7046413421630859
16384,32,3,0.550048828125
16384,32,3,0.6537570953369141
16384,32,3,0.6848869323730469
16384,32,3,0.717681884765625
16384,32,3,0.6958427429199219
