Size,Single Eval per Kernel,Double Eval per Kernel,Repeat,Dummy Time (ns),Compute Time Out of Order (ns)
8388608,0,16,64,0.01851477473974228,0.39103202894330025
8388608,0,16,64,0.01837768591940403,0.3906465619802475
8388608,0,16,64,0.018420981243252754,0.3907576147466898
8388608,0,16,64,0.018522541970014572,0.3905748464167118
8388608,0,16,64,0.018240412697196007,0.39064506627619267
8388608,0,16,64,0.018125129863619804,0.3906112555414438
8388608,0,16,64,0.018164271488785744,0.39071056991815567
8388608,0,16,64,0.01837938465178013,0.3908244092017412
8388608,0,16,64,0.018306877464056015,0.3906455282121897
8388608,0,16,64,0.01816655695438385,0.39059663005173206
8388608,0,16,64,0.018388643860816956,0.3907345999032259
8388608,0,16,64,0.018349945545196533,0.39117973297834396
8388608,0,16,64,0.018126919865608215,0.39069319516420364
8388608,0,16,64,0.018507888540625572,0.39065795578062534
8388608,0,16,64,0.01853814534842968,0.39067695662379265
8388608,0,16,64,0.018339375033974648,0.3906757514923811
8388608,0,16,64,0.018384752795100212,0.390705119818449
8388608,0,16,64,0.01822086237370968,0.39059824869036674
8388608,0,16,64,0.01842595636844635,0.39058623649179935
8388608,0,16,64,0.018383458256721497,0.39038944989442825
8388608,0,16,64,0.018409036099910736,0.39067666232585907
8388608,0,16,64,0.018174471333622932,0.3906297031790018
8388608,0,16,64,0.01852424256503582,0.3911830522119999
8388608,0,16,64,0.01833629235625267,0.3905454371124506
8388608,0,16,64,0.01845664344727993,0.39071105420589447
8388608,0,16,64,0.018370799720287323,0.39064755849540234
8388608,0,16,64,0.01845400407910347,0.39075156301259995
8388608,0,16,64,0.018361512571573257,0.390693424269557
8388608,0,16,64,0.01850210502743721,0.39076782017946243
8388608,0,16,64,0.018354251980781555,0.39056846871972084
8388608,0,16,64,0.01813926175236702,0.3905926104635
8388608,0,16,64,0.018079489469528198,0.3905284032225609
8388608,0,16,64,0.01829562522470951,0.3906907420605421
8388608,0,16,64,0.018479306250810623,0.3908627312630415
8388608,0,16,64,0.01809932477772236,0.39065457321703434
8388608,0,16,64,0.018394697457551956,0.39079294353723526
8388608,0,16,64,0.01840107887983322,0.39063133113086224
8388608,0,16,64,0.01837756484746933,0.39069026336073875
8388608,0,16,64,0.018383266404271126,0.3907727748155594
8388608,0,16,64,0.018529266119003296,0.39064023457467556
8388608,0,32,64,0.01839369162917137,0.7404784634709358
8388608,0,32,64,0.017965374514460564,0.7396654952317476
8388608,0,32,64,0.01835864782333374,0.7397701386362314
8388608,0,32,64,0.01850755512714386,0.7394557986408472
8388608,0,32,64,0.01841660402715206,0.7396000120788813
8388608,0,32,64,0.018403859809041023,0.7395459916442633
8388608,0,32,64,0.018406949937343597,0.7396739292889833
8388608,0,32,64,0.018482940271496773,0.7397278472781181
8388608,0,32,64,0.0184171162545681,0.7395096775144339
8388608,0,32,64,0.018398625776171684,0.739575570449233
8388608,0,32,64,0.018401121720671654,0.7394430208951235
8388608,0,32,64,0.01833113469183445,0.7403510697185993
8388608,0,32,64,0.018018772825598717,0.7396139726042747
8388608,0,32,64,0.01844196580350399,0.7394566368311644
8388608,0,32,64,0.018391119316220284,0.7396006193011999
8388608,0,32,64,0.018108464777469635,0.7394633926451206
8388608,0,32,64,0.01854083128273487,0.7393485214561224
8388608,0,32,64,0.018395204097032547,0.7396388556808233
8388608,0,32,64,0.018386395648121834,0.7396281566470861
8388608,0,32,64,0.0185155738145113,0.7395284548401833
8388608,0,32,64,0.01836007460951805,0.7393887955695391
