Size,Single Eval per Kernel,Double Eval per Kernel,Repeat,Dummy Time (ns),Compute Time Out of Order (ns)
8388608,0,16,64,0.10814588330686092,1.7492349613457918
8388608,0,16,64,0.10789638385176659,1.749233465641737
8388608,0,16,64,0.10789170116186142,1.7498188652098179
8388608,0,16,64,0.10962126776576042,1.748236646875739
8388608,0,16,64,0.10832441411912441,1.7497612442821264
8388608,0,16,64,0.10790261998772621,1.7492714170366526
8388608,0,16,64,0.10789964534342289,1.749271648004651
8388608,0,16,64,0.1082218810915947,1.7492765337228775
8388608,0,16,64,0.10801966488361359,1.749860817566514
8388608,0,16,64,0.10820117220282555,1.7492415495216846
8388608,0,16,64,0.10788462869822979,1.7492439188063145
8388608,0,16,64,0.1094870064407587,1.7475313190370798
8388608,0,16,64,0.10812819749116898,1.7492192443460226
8388608,0,16,64,0.10800344310700893,1.749838000163436
8388608,0,16,64,0.10803961753845215,1.749871278181672
8388608,0,16,64,0.10788952559232712,1.7492527198046446
8388608,0,16,64,0.10791810043156147,1.7495078556239605
8388608,0,16,64,0.10818780213594437,1.7492798753082752
8388608,0,16,64,0.10789830982685089,1.7492666691541672
8388608,0,16,64,0.10805532149970531,1.7498958390206099
8388608,0,16,64,0.10838407091796398,1.749938366934657
8388608,0,16,64,0.10796338878571987,1.7495514806360006
8388608,0,16,64,0.10832481272518635,1.7480314653366804
8388608,0,16,64,0.10821878165006638,1.7491955421864986
8388608,0,16,64,0.10806911438703537,1.7499351501464844
8388608,0,16,64,0.10793107189238071,1.7495194002985954
8388608,0,16,64,0.10804503597319126,1.7499453574419022
8388608,0,16,64,0.10805516876280308,1.7497032973915339
8388608,0,16,64,0.10789614915847778,1.7492864411324263
8388608,0,16,64,0.10790550895035267,1.749437427148223
8388608,0,16,64,0.10817577689886093,1.7495139725506306
8388608,0,16,64,0.10788103379309177,1.749328825622797
8388608,0,16,64,0.10788684338331223,1.7492812220007181
8388608,0,16,64,0.1079053096473217,1.7492296788841486
8388608,0,16,64,0.10803322680294514,1.7496219240128994
8388608,0,16,64,0.10971200466156006,1.7475812304764986
8388608,0,16,64,0.10822321474552155,1.7492569461464882
8388608,0,16,64,0.10801969468593597,1.749876918271184
8388608,0,16,64,0.10789348743855953,1.7492558658123016
8388608,0,16,64,0.1079044733196497,1.7497042827308178
8388608,0,32,64,0.10818990878760815,3.33062488026917
8388608,0,32,64,0.10789971798658371,3.32891764305532
8388608,0,32,64,0.10789447277784348,3.330568028613925
8388608,0,32,64,0.10957902297377586,3.330040330067277
8388608,0,32,64,0.10793588124215603,3.330562686547637
8388608,0,32,64,0.10789090767502785,3.3306114990264177
8388608,0,32,64,0.10789363272488117,3.330607896670699
8388608,0,32,64,0.10823239013552666,3.3305565156042576
8388608,0,32,64,0.10789734870195389,3.3306243885308504
8388608,0,32,64,0.10836316272616386,3.3299852330237627
8388608,0,32,64,0.10789812728762627,3.330590806901455
8388608,0,32,64,0.10789063014090061,3.330624509602785
8388608,0,32,64,0.10793142952024937,3.330528376623988
8388608,0,32,64,0.1078911442309618,3.330566756427288
