Size,Single Eval per Kernel,Double Eval per Kernel,Repeat,Dummy Time (ns),Compute Time In Order (ns),Compute Time Out of Order (ns)
8388608,0,16,64,0.1140922550112009,1.712794592604041,1.7512810323387384
8388608,0,16,64,0.1038709469139576,1.7294238433241844,1.7442129142582417
8388608,0,16,64,0.10420607030391693,1.7495814245194197,1.712986370548606
8388608,0,16,64,0.10416530258953571,1.703857271000743,1.7326369173824787
8388608,0,16,64,0.1257147155702114,1.7232879903167486,1.7130444571375847
8388608,0,16,64,0.10408454202115536,1.7199822757393122,1.7156645767390728
8388608,0,16,64,0.10389214940369129,1.7230647969990969,1.7127912659198046
8388608,0,16,64,0.1040367130190134,1.6694698482751846,1.7129800394177437
8388608,0,16,64,0.1040206328034401,1.7040480487048626,1.732195720076561
8388608,0,16,64,0.10388889349997044,1.6992680169641972,1.7330669164657593
8388608,0,16,64,0.1038623508065939,1.7221301514655352,1.714139761403203
8388608,0,16,64,0.10388395190238953,1.7036418244242668,1.71429930254817
8388608,0,16,64,0.10387130454182625,1.7229266911745071,1.713694790378213
8388608,0,16,64,0.10414731130003929,1.7009965814650059,1.708855478093028
8388608,0,16,64,0.10388164594769478,1.700889652594924,1.7302131969481707
8388608,0,16,64,0.10388875752687454,1.7327071335166693,1.7138013131916523
8388608,0,16,64,0.10385502688586712,1.7007506396621466,1.6978556495159864
8388608,0,16,64,0.10419620014727116,1.747110778465867,1.7132582683116198
8388608,0,16,64,0.10416650772094727,1.7469744943082333,1.7126591373234987
8388608,0,16,64,0.10400262288749218,1.7228580117225647,1.736931074410677
8388608,0,16,64,0.10400091484189034,1.7009921669960022,1.7627896443009377
8388608,0,16,64,0.10410965234041214,1.7270855400711298,1.7388968728482723
8388608,0,16,64,0.1041208952665329,1.705868536606431,1.7182228062301874
8388608,0,16,64,0.10388494096696377,1.7233983259648085,1.7128171417862177
8388608,0,16,64,0.10387217067182064,1.7010114658623934,1.7090633939951658
8388608,0,16,64,0.12445604428648949,1.7226581424474716,1.7129782773554325
8388608,0,16,64,0.10399860329926014,1.7009541541337967,1.7569884452968836
8388608,0,16,64,0.1041131392121315,1.7416570875793695,1.7131985556334257
8388608,0,16,64,0.10388940572738647,1.7289296854287386,1.7341942470520735
8388608,0,16,64,0.10413090139627457,1.7446963004767895,1.6769581846892834
8388608,0,16,64,0.10413324274122715,1.701216384768486,1.7609881963580847
8388608,0,16,64,0.10388628207147121,1.7480545062571764,1.7127239927649498
8388608,0,16,64,0.10389286279678345,1.7483713403344154,1.7130227126181126
8388608,0,16,64,0.10389636270701885,1.7065810728818178,1.7182850949466228
8388608,0,16,64,0.1038728579878807,1.701530583202839,1.6968919094651937
8388608,0,16,64,0.1041673943400383,1.7406324762851,1.712879141792655
8388608,0,16,64,0.10397288575768471,1.7445990443229675,1.7126251980662346
8388608,0,16,64,0.10412884503602982,1.7010766342282295,1.7258560992777348
8388608,0,16,64,0.10408453829586506,1.7212391197681427,1.7128990609198809
8388608,0,16,64,0.10415956191718578,1.7013960648328066,1.759408151730895
8388608,0,16,64,0.10394429229199886,1.7015591021627188,1.7631782796233892
8388608,0,16,64,0.10394920222461224,1.7012248802930117,1.7655887063592672
8388608,0,16,64,0.10390498489141464,1.7020021826028824,1.7596018221229315
8388608,0,16,64,0.103858457878232,1.7010149918496609,1.6969556417316198
8388608,0,16,64,0.10387550853192806,1.6830599550157785,1.6969601400196552
8388608,0,16,64,0.10387815535068512,1.7308833934366703,1.6761807724833488
8388608,0,16,64,0.1038927398622036,1.7011903673410416,1.7521440871059895
8388608,0,16,64,0.10389993339776993,1.7240011468529701,1.7322736885398626
8388608,0,16,64,0.10450159385800362,1.6648197248578072,1.6953201480209827
8388608,0,16,64,0.1038806326687336,1.747031370177865,1.713198035955429
8388608,0,16,64,0.10418588109314442,1.725291894748807,1.7371139340102673
8388608,0,16,64,0.14047671109437943,1.6890698317438364,1.7345272712409496
8388608,0,16,64,0.10417889431118965,1.701188063248992,1.742582255974412
8388608,0,16,64,0.1038895919919014,1.7012737896293402,1.755371693521738
8388608,0,16,64,0.10424742475152016,1.7377145700156689,1.7127071544528008
8388608,0,16,64,0.1039566919207573,1.682721022516489,1.6905183494091034
8388608,0,16,64,0.10420453175902367,1.7010058630257845,1.751758312806487
8388608,0,16,64,0.10385501198470592,1.6830420289188623,1.675967464223504
8388608,0,16,64,0.10386933758854866,1.682499947026372,1.6905941236764193
8388608,0,16,64,0.10408497229218483,1.6903089452534914,1.6990267168730497
