Size,Single Eval per Kernel,Double Eval per Kernel,Repeat,Dummy Time (ns),Compute Time In Order (ns),Compute Time Out of Order (ns)
8388608,0,16,64,0.10790754109621048,1.7371576577425003,1.749273868277669
8388608,0,16,64,0.10806715115904808,1.7378059066832066,1.7499457877129316
8388608,0,16,64,0.10819697193801403,1.7371941916644573,1.7492382787168026
8388608,0,16,64,0.10808411240577698,1.737847125157714,1.7499505653977394
8388608,0,16,64,0.10809333063662052,1.7377944346517324,1.7498663980513811
8388608,0,16,64,0.10837901756167412,1.7378116995096207,1.7482639979571104
8388608,0,16,64,0.10799620859324932,1.7378136310726404,1.7497899904847145
8388608,0,16,64,0.10807218588888645,1.7361582685261965,1.7498866822570562
8388608,0,16,64,0.10802104137837887,1.7378776613622904,1.7498889453709126
8388608,0,16,64,0.10802619904279709,1.7379566542804241,1.7498857825994492
8388608,0,16,64,0.10808037593960762,1.7377903629094362,1.749799845740199
8388608,0,16,64,0.10821687988936901,1.7371279019862413,1.7492030430585146
8388608,0,16,64,0.10836618393659592,1.7378792576491833,1.7499020118266344
8388608,0,16,64,0.10801646672189236,1.7378456331789494,1.7498940024524927
8388608,0,16,64,0.10808506049215794,1.7377504166215658,1.7499808575958014
8388608,0,16,64,0.10806223191320896,1.73788558319211,1.7499426268041134
8388608,0,16,64,0.10802450217306614,1.7377788983285427,1.7499931156635284
8388608,0,16,64,0.10963835008442402,1.7361057214438915,1.7499105166643858
8388608,0,16,64,0.10803120955824852,1.7377758976072073,1.7497764080762863
8388608,0,16,64,0.10806016251444817,1.7378831896930933,1.7499944381415844
8388608,0,16,64,0.10804629325866699,1.7378356140106916,1.749831398949027
8388608,0,16,64,0.10803286358714104,1.7378069031983614,1.7498619724065065
8388608,0,16,64,0.10790770873427391,1.7371935583651066,1.749238532036543
8388608,0,16,64,0.10802893899381161,1.7378316037356853,1.749877903610468
8388608,0,16,64,0.1080532968044281,1.7378525268286467,1.7499029450118542
8388608,0,16,64,0.10807332210242748,1.7378131840378046,1.7499083075672388
8388608,0,16,64,0.10809391364455223,1.7378415036946535,1.7497018035501242
8388608,0,16,64,0.10792846418917179,1.737706108018756,1.7499089632183313
8388608,0,16,64,0.10807795822620392,1.7378342282027006,1.7499704509973526
8388608,0,16,64,0.108078233897686,1.7378203477710485,1.7499255649745464
8388608,0,16,64,0.10807567462325096,1.737827094271779,1.7499926127493382
8388608,0,16,64,0.10807529278099537,1.7377907279878855,1.7498801574110985
8388608,0,16,64,0.10805969685316086,1.7379071656614542,1.7499772440642118
8388608,0,16,64,0.10789606347680092,1.7371496800333261,1.7492566276341677
8388608,0,16,64,0.10803419537842274,1.737835457548499,1.7499452605843544
8388608,0,16,64,0.1080391313880682,1.7376817520707846,1.7498846352100372
8388608,0,16,64,0.10806935280561447,1.7378784008324146,1.7499680668115616
8388608,0,16,64,0.10806543193757534,1.7377877049148083,1.7498898264020681
8388608,0,16,64,0.10804672166705132,1.737798236310482,1.749902281910181
8388608,0,16,64,0.10800183936953545,1.7377969566732645,1.7498992700129747
8388608,0,16,64,0.10807418636977673,1.7377100102603436,1.749922489747405
8388608,0,16,64,0.10801389254629612,1.737941201776266,1.749895852059126
8388608,0,16,64,0.10809439048171043,1.7377942334860563,1.7498582918196917
8388608,0,16,64,0.10806276090443134,1.7378464844077826,1.7499406896531582
8388608,0,16,64,0.10819032602012157,1.7371758855879307,1.7492326963692904
8388608,0,16,64,0.10832175426185131,1.737810866907239,1.7499219942837954
8388608,0,16,64,0.10808406211435795,1.7378787733614445,1.7499847821891308
8388608,0,16,64,0.10804864764213562,1.7378641441464424,1.7499211356043816
8388608,0,16,64,0.10838511399924755,1.7378454487770796,1.7499125562608242
8388608,0,16,64,0.10804424434900284,1.7377815265208483,1.7498347368091345
8388608,0,16,64,0.10838634334504604,1.7378728669136763,1.74998789280653
8388608,0,16,64,0.10833343118429184,1.737921891734004,1.7498889844864607
8388608,0,16,64,0.10792257450520992,1.737733893096447,1.7498872485011816
8388608,0,16,64,0.10837327130138874,1.7378132846206427,1.749916585162282
8388608,0,16,64,0.10801054909825325,1.737794192507863,1.7497869059443474
8388608,0,16,64,0.10790203884243965,1.7371737360954285,1.7492632567882538
8388608,0,16,64,0.10822610184550285,1.737885668873787,1.74995693936944
8388608,0,16,64,0.10804654844105244,1.7377814296633005,1.7499401308596134
8388608,0,16,64,0.10795152373611927,1.7377486750483513,1.7499000746756792
8388608,0,16,64,0.10808631405234337,1.7378468122333288,1.749929491430521
8388608,0,16,64,0.10835392586886883,1.737756872549653,1.7499572988599539
8388608,0,16,64,0.1083807423710823,1.7378724478185177,1.7500190250575542
8388608,0,16,64,0.10838874243199825,1.7378158755600452,1.7498858384788036
8388608,0,16,64,0.10836849175393581,1.7377485930919647,1.749913401901722
8388608,0,16,64,0.1080636065453291,1.7379035223275423,1.749945817515254
8388608,0,16,64,0.1083704587072134,1.7377344109117985,1.7497952915728092
8388608,0,16,64,0.10948276333510876,1.7354388069361448,1.7491933442652225
8388608,0,16,64,0.1083856113255024,1.737852605059743,1.7499095015227795
8388608,0,16,64,0.10806869342923164,1.7378390654921532,1.749947428703308
8388608,0,16,64,0.10790473781526089,1.7371460236608982,1.7492561899125576
8388608,0,32,64,0.10789287090301514,3.318377098068595,3.3289579935371876
8388608,0,32,64,0.10803742706775665,3.3195316940546036,3.331717647612095
8388608,0,32,64,0.1080532819032669,3.3195341415703297,3.331726958975196
8388608,0,32,64,0.10802038200199604,3.3194525446742773,3.3316393177956343
8388608,0,32,64,0.10803717374801636,3.3195873387157917,3.3316899444907904
8388608,0,32,64,0.1080368384718895,3.319441292434931,3.330005591735244
8388608,0,32,64,0.10837908461689949,3.319565586745739,3.3317137118428946
8388608,0,32,64,0.10806197486817837,3.317738452926278,3.330120900645852
8388608,0,32,64,0.10800420120358467,3.3194412607699633,3.3315877318382263
8388608,0,32,64,0.10806435532867908,3.3178408462554216,3.331727845594287
8388608,0,32,64,0.10805945470929146,3.319509608671069,3.3316920530050993
8388608,0,32,64,0.10789240896701813,3.318535691127181,3.33056559227407
8388608,0,32,64,0.10808683559298515,3.319583198055625,3.330159956589341
8388608,0,32,64,0.10804763622581959,3.3195671290159225,3.3317203484475613
8388608,0,32,64,0.10806320421397686,3.319499336183071,3.331734651699662
8388608,0,32,64,0.10962186940014362,3.3177270852029324,3.331696182489395
8388608,0,32,64,0.1080558579415083,3.319603903219104,3.3316470701247454
8388608,0,32,64,0.10805930942296982,3.3196276780217886,3.3300803285092115
8388608,0,32,64,0.10837206616997719,3.319498274475336,3.331726647913456
8388608,0,32,64,0.10835683345794678,3.3195542469620705,3.330020759254694
8388608,0,32,64,0.10967956110835075,3.317808950319886,3.331704007461667
8388608,0,32,64,0.10835999809205532,3.3179284259676933,3.331551644951105
8388608,0,32,64,0.10820684768259525,3.318333975970745,3.3305043801665306
8388608,0,32,64,0.10836914367973804,3.3195286095142365,3.3300040382891893
8388608,0,32,64,0.10807980224490166,3.3195658437907696,3.33168463408947
8388608,0,32,64,0.10806948691606522,3.319476433098316,3.3299770709127188
8388608,0,32,64,0.10805460438132286,3.319500245153904,3.3315711356699467
8388608,0,32,64,0.10800911858677864,3.3193965312093496,3.3316725846379995
8388608,0,32,64,0.10806022211909294,3.317922966554761,3.3317107390612364
8388608,0,32,64,0.10803565010428429,3.319475321099162,3.33169655315578
8388608,0,32,64,0.10801674798130989,3.3195256162434816,3.33180932700634
8388608,0,32,64,0.10838019102811813,3.319577192887664,3.331755429506302
8388608,0,32,64,0.10802420787513256,3.3176299184560776,3.3316110614687204
8388608,0,32,64,0.10790767334401608,3.318380545824766,3.330397054553032
8388608,0,32,64,0.10835797153413296,3.319554088637233,3.3317268025130033
8388608,0,32,64,0.10807867161929607,3.319466469809413,3.330066692084074
8388608,0,32,64,0.10803896002471447,3.3194826561957598,3.33168476074934
8388608,0,32,64,0.10810129344463348,3.319404808804393,3.330125106498599
8388608,0,32,64,0.10833908803761005,3.31941688247025,3.3316612634807825
8388608,0,32,64,0.10805649310350418,3.3195485454052687,3.331697354093194
8388608,0,32,64,0.10805859602987766,3.3195855487138033,3.3317261524498463
8388608,0,32,64,0.10805239528417587,3.3194903172552586,3.3316164296120405
8388608,0,32,64,0.10801118053495884,3.319459658116102,3.331592595204711
8388608,0,32,64,0.10971675254404545,3.3178080786019564,3.3317096922546625
8388608,0,32,64,0.10950677283108234,3.316669635474682,3.3306107707321644
8388608,0,32,64,0.10807345807552338,3.3195314072072506,3.3317092321813107
8388608,0,32,64,0.10810724273324013,3.317892998456955,3.3316691890358925
8388608,0,32,64,0.10807685367763042,3.319507634267211,3.331726176664233
8388608,0,32,64,0.10802707634866238,3.319516921415925,3.3317486066371202
8388608,0,32,64,0.10808619670569897,3.3195329532027245,3.329981744289398
8388608,0,32,64,0.10839741677045822,3.317878743633628,3.331724066287279
8388608,0,32,64,0.10989324562251568,3.3177511766552925,3.331689452752471
8388608,0,32,64,0.1080724485218525,3.319476855918765,3.3317026421427727
8388608,0,32,64,0.10965743660926819,3.317849263548851,3.3316956125199795
8388608,0,32,64,0.1080698799341917,3.319462036713958,3.3317063730210066
8388608,0,32,64,0.10804211162030697,3.319558033719659,3.3317470401525497
8388608,0,32,64,0.10804522782564163,3.317790711298585,3.331658521667123
8388608,0,32,64,0.10805641859769821,3.319552669301629,3.3316701855510473
8388608,0,32,64,0.10803331434726715,3.31774964928627,3.3316925782710314
8388608,0,32,64,0.10804023407399654,3.3195755127817392,3.331775978207588
8388608,0,32,64,0.10807238891720772,3.3194595593959093,3.3300171066075563
8388608,0,32,64,0.10947330482304096,3.3177526220679283,3.331748876720667
8388608,0,32,64,0.10809721052646637,3.3195858001708984,3.331735860556364
8388608,0,32,64,0.10803831741213799,3.319511564448476,3.3299875054508448
8388608,0,32,64,0.10994668118655682,3.317731784656644,3.331769360229373
8388608,0,32,64,0.10803730599582195,3.319496363401413,3.3316528368741274
8388608,0,32,64,0.10789281316101551,3.316750943660736,3.3305305764079094
8388608,0,32,64,0.10806475579738617,3.319474719464779,3.33172744885087
8388608,0,32,64,0.10789367370307446,3.3184248451143503,3.3289217427372932
8388608,0,32,64,0.10801338031888008,3.3195313308387995,3.3317152839154005
8388608,0,64,64,0.10820703022181988,6.482808882370591,6.494425818324089
8388608,0,64,64,0.10805725865066051,6.484962401911616,6.496046926826239
8388608,0,64,64,0.10804354026913643,6.482677306979895,6.49817911721766
8388608,0,64,64,0.1080415453761816,6.482600463554263,6.498174674808979
8388608,0,64,64,0.10840298607945442,6.482695069164038,6.498134596273303
8388608,0,64,64,0.10835122875869274,6.484484491869807,6.496019743382931
8388608,0,64,64,0.10806154645979404,6.482794493436813,6.497965319082141
8388608,0,64,64,0.10808718390762806,6.482864338904619,6.496125895529985
8388608,0,64,64,0.10805616527795792,6.482687775045633,6.4978464394807816
8388608,0,64,64,0.1080445908010006,6.482855126261711,6.498227175325155
8388608,0,64,64,0.10837579518556595,6.482741188257933,6.497952187433839
8388608,0,64,64,0.10791797190904617,6.484939141198993,6.49623635597527
8388608,0,64,64,0.1083303838968277,6.484440628439188,6.496051697060466
8388608,0,64,64,0.10803500562906265,6.484316010028124,6.495876960456371
8388608,0,64,64,0.10802320204675198,6.4869280513376,6.496017085388303
8388608,0,64,64,0.10806836001574993,6.482855074107647,6.497915998101234
8388608,0,64,64,0.10806676372885704,6.484451038762927,6.495998036116362
8388608,0,64,64,0.10840713977813721,6.48437450453639,6.496019463986158
8388608,0,64,64,0.10808336921036243,6.482619458809495,6.4978137370198965
8388608,0,64,64,0.10802783258259296,6.484483039006591,6.495937589555979
8388608,0,64,64,0.10807851515710354,6.4827646147459745,6.498291093856096
8388608,0,64,64,0.10808713175356388,6.482542626559734,6.498113648965955
8388608,0,64,64,0.10792315378785133,6.482582250609994,6.4943488817662
8388608,0,64,64,0.10807591490447521,6.484474591910839,6.496239634230733
8388608,0,64,64,0.1290280595421791,6.482768835499883,6.498120062053204
8388608,0,64,64,0.10793176665902138,6.48438916914165,6.496157659217715
8388608,0,64,64,0.10842564515769482,6.4826984610408545,6.4981310330331326
8388608,0,64,64,0.1080832052975893,6.484289551153779,6.496093580499291
8388608,0,64,64,0.10806120000779629,6.482761014252901,6.498016705736518
8388608,0,64,64,0.10836789198219776,6.482818003743887,6.497674571350217
8388608,0,64,64,0.10838745348155499,6.48468130081892,6.496090805158019
8388608,0,64,64,0.10800260864198208,6.482746604830027,6.498067706823349
8388608,0,64,64,0.1080185528844595,6.482800103724003,6.495971743017435
8388608,0,64,64,0.10791190154850483,6.482558235526085,6.494528474286199
8388608,0,64,64,0.10836270824074745,6.484701495617628,6.4963809084147215
8388608,0,64,64,0.10840767249464989,6.484487548470497,6.496159490197897
8388608,0,64,64,0.10805052891373634,6.482699351385236,6.497569153085351
8388608,0,64,64,0.10803030617535114,6.484352055937052,6.495938567444682
8388608,0,64,64,0.1083532702177763,6.482764104381204,6.498301049694419
8388608,0,64,64,0.10808299109339714,6.482694894075394,6.497960891574621
8388608,0,64,64,0.10802238248288631,6.484484748914838,6.496011210605502
8388608,0,64,64,0.10833367332816124,6.482741257175803,6.497877322137356
8388608,0,64,64,0.10806513763964176,6.484579034149647,6.495987318456173
8388608,0,64,64,0.1080468911677599,6.482773711904883,6.497653121128678
8388608,0,64,64,0.10789718478918076,6.480937236919999,6.496153200045228
8388608,0,64,64,0.10959254950284958,6.482849335297942,6.4975160751491785
8388608,0,64,64,0.10835235007107258,6.482794426381588,6.497748028486967
8388608,0,64,64,0.10836591199040413,6.4846714828163385,6.496201954782009
8388608,0,64,64,0.10838166065514088,6.482878774404526,6.497841414064169
8388608,0,64,64,0.10805730521678925,6.484243746846914,6.496086802333593
8388608,0,64,64,0.10806502588093281,6.4826985485851765,6.496618293225765
8388608,0,64,64,0.10838810168206692,6.482851453125477,6.498049013316631
8388608,0,64,64,0.10798737220466137,6.48483681678772,6.496019335463643
8388608,0,64,64,0.10803782381117344,6.482695138081908,6.498003892600536
8388608,0,64,64,0.10801596753299236,6.484408546239138,6.496037570759654
8388608,0,64,64,0.10822088830173016,6.480933839455247,6.496250681579113
8388608,0,64,64,0.10804876126348972,6.4827217143028975,6.497753160074353
8388608,0,64,64,0.10836987569928169,6.484466755762696,6.495967328548431
8388608,0,64,64,0.10807353258132935,6.482757441699505,6.497776780277491
8388608,0,64,64,0.10804460383951664,6.482815088704228,6.497840948402882
8388608,0,64,64,0.10811457596719265,6.484479399397969,6.496277203783393
8388608,0,64,64,0.10806883685290813,6.482757847756147,6.497845804318786
8388608,0,64,64,0.10803630203008652,6.4844168443232775,6.496326453983784
8388608,0,64,64,0.10806125588715076,6.484277069568634,6.496002411469817
8388608,0,64,64,0.10809326730668545,6.482828652486205,6.4978358037769794
8388608,0,64,64,0.10806323401629925,6.484703104943037,6.496511898934841
8388608,0,64,64,0.10790197178721428,6.480897057801485,6.496148686856031
8388608,0,64,64,0.10805455595254898,6.482723493129015,6.497648498043418
8388608,0,64,64,0.10808267071843147,6.484288986772299,6.496296131983399
8388608,0,64,64,0.10959024168550968,6.482446612790227,6.497954184189439
8388608,0,128,64,0.10789470747113228,12.806454919278622,12.821185233071446
8388608,0,128,64,0.10808613523840904,12.808795671910048,12.824656629934907
8388608,0,128,64,0.10789031907916069,12.807741988450289,12.821259254589677
8388608,0,128,64,0.10806023329496384,12.808352123945951,12.822832548990846
8388608,0,128,64,0.10840894840657711,12.810449253767729,12.823677971959114
8388608,0,128,64,0.1080489456653595,12.808614326640964,12.82324006780982
8388608,0,128,64,0.10837242938578129,12.80867819301784,12.823249692097306
8388608,0,128,64,0.108070258051157,12.808697421103716,12.822598958387971
8388608,0,128,64,0.10835548862814903,12.809226833283901,12.823513427749276
8388608,0,128,64,0.1096578948199749,12.808640263974667,12.824355136603117
8388608,0,128,64,0.10801193490624428,12.809054732322693,12.822924947366118
8388608,0,128,64,0.10790604539215565,12.80669147707522,12.821352140977979
8388608,0,128,64,0.10800247825682163,12.808758839964867,12.822912594303489
8388608,0,128,64,0.10836812108755112,12.80887222290039,12.822800720110536
8388608,0,128,64,0.10837090946733952,12.808470100164413,12.823015628382564
8388608,0,128,64,0.107911741361022,12.807024342939258,12.822278896346688
8388608,0,128,64,0.10831288807094097,12.808315744623542,12.822565034031868
8388608,0,128,64,0.10834234580397606,12.808646595105529,12.82406947761774
8388608,0,128,64,0.10803953185677528,12.808765701949596,12.82287598028779
8388608,0,128,64,0.10836994647979736,12.808615829795599,12.822833824902773
8388608,0,128,64,0.10801178403198719,12.807493224740028,12.821646006777883
8388608,0,128,64,0.10839156620204449,12.808711636811495,12.823005173355341
8388608,0,128,64,0.10789327882230282,12.806846335530281,12.822123622521758
8388608,0,128,64,0.10800511762499809,12.808420138433576,12.822923937812448
8388608,0,128,64,0.10810058005154133,12.81129608489573,12.823329344391823
8388608,0,128,64,0.10832061059772968,12.810140507295728,12.822760811075568
8388608,0,128,64,0.10807398892939091,12.807074693962932,12.823042832314968
8388608,0,128,64,0.1080325860530138,12.808842385187745,12.822872430086136
8388608,0,128,64,0.10806489549577236,12.809255553409457,12.821485970169306
8388608,0,128,64,0.10803903639316559,12.808468967676163,12.82292809151113
8388608,0,128,64,0.10807128623127937,12.808919109404087,12.822647040709853
8388608,0,128,64,0.10806750319898129,12.809527657926083,12.82350049354136
8388608,0,128,64,0.1096564270555973,12.808493131771684,12.82277825474739
8388608,0,128,64,0.1079062670469284,12.806764911860228,12.821410279721022
8388608,0,128,64,0.1080180574208498,12.809465182945132,12.822769088670611
8388608,0,128,64,0.10806717351078987,12.808603808283806,12.822792816907167
8388608,0,128,64,0.10829684883356094,12.808875923976302,12.823264721781015
8388608,0,128,64,0.10834000632166862,12.808666357770562,12.822825357317924
8388608,0,128,64,0.10801040753722191,12.808319902047515,12.82290799356997
8388608,0,128,64,0.10839086212217808,12.808883095160127,12.822913927957416
8388608,0,128,64,0.10831739008426666,12.808802273124456,12.824068481102586
8388608,0,128,64,0.10810843855142593,12.810384660959244,12.822835622355342
8388608,0,128,64,0.10808974504470825,12.808705259114504,12.82277081720531
8388608,0,128,64,0.10790150240063667,12.80728036724031,12.821862138807774
8388608,0,128,64,0.1079061720520258,12.808763183653355,12.82313310354948
8388608,0,128,64,0.10843163169920444,12.808663377538323,12.822654007002711
8388608,0,128,64,0.10803135111927986,12.808661106973886,12.826721655204892
8388608,0,128,64,0.10792692005634308,12.808197263628244,12.822770288214087
8388608,0,128,64,0.10796123370528221,12.806465718895197,12.820954665541649
8388608,0,128,64,0.10829689539968967,12.808439059183002,12.822803236544132
8388608,0,128,64,0.10806430503726006,12.808305716142058,12.828151335939765
8388608,0,128,64,0.10804606415331364,12.808637237176299,12.822967486456037
8388608,0,128,64,0.10800712369382381,12.808481998741627,12.822989296168089
8388608,0,128,64,0.1080362182110548,12.80865716189146,12.822761874645948
8388608,0,128,64,0.10806837305426598,12.808632340282202,12.822753626853228
8388608,0,128,64,0.1079120896756649,12.804949698969722,12.821092801168561
8388608,0,128,64,0.1080437246710062,12.808570194989443,12.82288103364408
8388608,0,128,64,0.10838566347956657,12.80851999297738,12.823251573368907
8388608,0,128,64,0.10964009910821915,12.810162032023072,12.822838040068746
8388608,0,128,64,0.1083303652703762,12.809844885021448,12.82277462258935
8388608,0,128,64,0.10802416317164898,12.808722078800201,12.822871312499046
8388608,0,128,64,0.10834895446896553,12.80712404102087,12.82100067846477
8388608,0,128,64,0.10801700875163078,12.810999693349004,12.822740901261568
8388608,0,128,64,0.10806878097355366,12.808472042903304,12.82293951883912
8388608,0,128,64,0.10802645608782768,12.809424111619592,12.824359619989991
8388608,0,128,64,0.10804349929094315,12.808625156059861,12.822759026661515
8388608,0,128,64,0.10960184037685394,12.808375721797347,12.81933325715363
8388608,0,128,64,0.10800247825682163,12.808631096035242,12.82307486794889
8388608,0,128,64,0.10791324079036713,12.80745511688292,12.822605857625604
8388608,0,128,64,0.10791179910302162,12.806928638368845,12.821702308952808
8388608,64,0,64,0.10792463459074497,1.8515953291207552,1.8601712249219418
8388608,64,0,64,0.10822516866028309,1.8498637489974499,1.860314143821597
