Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
262144,32768,6,2,0,1.02774,5.35372,4.72338,0.125946,3.02011e-6,0.00012207,0.000122022,0.00103778
262144,32768,8,8,0,1.36733,17.2564,6.28482,0.141538,7.25966e-6,0.00012207,3.37372e-7,1.19442e-6
262144,32768,12,4,0,2.03585,9.44688,9.35696,0.139799,6.42246e-6,0.00012207,0.000122051,0.00141258
524288,16384,1,3,0,0.521342,7.26247,2.3958,0.140711,4.19514e-6,0.000244141,1.74634e-10,4.45316e-9
524288,16384,2,2,0,0.361002,5.26263,1.65909,0.134112,2.33587e-6,0.000244141,8.47969e-7,2.38861e-6
524288,16384,2,6,0,1.02393,13.2625,4.70649,0.141612,2.07882e-5,0.000244141,1.74666e-10,6.28796e-9
524288,16384,3,1,0,0.5275,3.29246,2.42428,0.104683,1.77087e-6,0.000244141,0.000243588,0.000539208
524288,16384,4,4,0,0.695252,9.26257,3.19548,0.138345,4.03088e-6,0.000244141,4.45987e-7,1.70316e-6
524288,16384,4,12,0,2.03595,25.2625,9.35799,0.140404,8.20328e-5,0.000244141,3.49331e-10,1.22266e-8
524288,16384,6,2,0,1.02905,5.36427,4.72952,0.12719,3.46991e-6,0.000244141,0.000243999,0.0014151
524288,16384,8,8,0,1.36884,17.2629,6.29113,0.1417,1.77121e-5,0.000244141,9.72999e-7,5.02076e-6
524288,16384,12,4,0,2.04085,9.46328,9.37939,0.143499,7.53473e-6,0.000244141,0.000244029,0.00210816
524288,32768,1,3,0,0.515921,7.25624,2.37145,0.137749,3.83129e-6,0.00012207,8.73168e-11,2.70682e-9
524288,32768,2,2,0,0.358293,5.25636,1.64685,0.131989,1.86963e-6,0.00012207,3.66417e-7,1.59285e-6
524288,32768,2,6,0,1.02199,13.2563,4.6973,0.138383,1.95846e-5,0.00012207,1.74666e-10,6.46263e-9
524288,32768,3,1,0,0.525039,3.28822,2.41317,0.103975,2.0158e-6,0.00012207,0.000121986,0.000507855
524288,32768,4,4,0,0.695187,9.25639,3.195,0.138157,5.22111e-6,0.00012207,3.31551e-7,1.69931e-6
524288,32768,4,12,0,2.0345,25.2563,9.34937,0.13813,7.13956e-5,0.00012207,3.49331e-10,1.22266e-8
524288,32768,6,2,0,1.03069,5.35385,4.73671,0.126334,5.24049e-6,0.00012207,0.00012201,0.00103771
524288,32768,8,8,0,1.36685,17.2565,6.28187,0.139619,1.52916e-5,0.00012207,2.53785e-7,1.90199e-6
524288,32768,12,4,0,2.04241,9.4474,9.38695,0.139681,8.94533e-6,0.00012207,0.000122047,0.00141339
524288,65536,1,3,0,0.515131,7.25314,2.36794,0.135985,3.73227e-6,6.10352e-5,8.73168e-11,3.14341e-9
524288,65536,1,3,32768,0.515523,7.25398,2.36944,0.136155,3.03304e-6,6.10352e-5,8.73168e-11,2.6195e-9
524288,65536,2,2,0,0.357816,5.2532,1.64446,0.130908,1.64518e-6,6.10352e-5,1.51282e-7,9.67935e-7
524288,65536,2,2,32768,0.359229,5.25629,1.65083,0.131068,5.59195e-6,6.10352e-5,2.22062e-7,1.25257e-6
524288,65536,2,6,0,1.02151,13.2532,4.69516,0.136315,2.03892e-5,6.10352e-5,1.74666e-10,6.1133e-9
524288,65536,2,6,32768,1.02044,13.254,4.69021,0.135589,1.40932e-5,6.10352e-5,1.74666e-10,6.46263e-9
524288,65536,3,1,0,0.526299,3.29635,2.41852,0.12051,2.42653e-6,6.10352e-5,6.09633e-5,0.000485816
524288,65536,3,1,32768,0.524804,3.73295,2.41194,0.104964,4.61225e-6,6.10352e-5,6.08583e-5,0.000426621
524288,65536,4,4,0,0.692436,9.25325,3.18264,0.136539,3.72122e-6,6.10352e-5,2.9651e-7,1.47708e-6
524288,65536,4,4,32768,0.693945,9.2569,3.18941,0.136247,1.12675e-5,6.10352e-5,2.08034e-7,1.52586e-6
524288,65536,4,12,0,2.02991,25.2532,9.33093,0.136117,5.95914e-5,6.10352e-5,3.49331e-10,1.25759e-8
524288,65536,4,12,32768,2.03542,25.254,9.35431,0.136548,5.83582e-5,6.10352e-5,3.49331e-10,1.01306e-8
524288,65536,6,2,0,1.02634,5.34697,4.71724,0.127945,3.36947e-6,6.10352e-5,6.10269e-5,0.000701206
524288,65536,6,2,32768,1.02737,5.78484,4.72164,0.113131,9.05624e-6,6.10352e-5,6.10207e-5,0.000670842
524288,65536,8,8,0,1.36462,17.2533,6.27228,0.139567,9.57865e-6,6.10352e-5,6.75907e-7,1.90409e-6
524288,65536,8,8,32768,1.36612,17.2577,6.27894,0.139009,2.308e-5,6.10352e-5,1.8836e-7,1.65845e-6
524288,65536,12,4,0,2.03827,9.43744,9.36796,0.13687,1.01861e-5,6.10352e-5,6.10285e-5,0.000895066
524288,65536,12,4,32768,2.03809,9.87585,9.3673,0.117665,2.13875e-5,6.10352e-5,6.10268e-5,0.000879113
1048576,32768,1,3,0,0.516626,7.25623,2.37467,0.137892,2.10262e-5,0.00012207,8.73328e-11,2.61998e-9
1048576,32768,2,2,0,0.358648,5.25639,1.64836,0.132084,4.59759e-6,0.00012207,4.45347e-7,2.09967e-6
1048576,32768,2,6,0,1.02175,13.2563,4.69615,0.13823,7.88757e-5,0.00012207,1.74666e-10,6.28796e-9
1048576,32768,3,1,0,0.52613,3.28887,2.41803,0.104917,3.58073e-6,0.00012207,0.000121946,0.000514678
1048576,32768,4,4,0,0.696576,9.25655,3.20145,0.138086,1.53027e-5,0.00012207,8.22823e-7,3.87861e-6
1048576,32768,4,12,0,2.03375,25.2563,9.34584,0.138059,0.000428856,0.00012207,3.49587e-10,1.25851e-8
1048576,32768,6,2,0,1.0302,5.35326,4.73415,0.126512,7.85506e-6,0.00012207,0.000122,0.0010337
1048576,32768,8,8,0,1.37098,17.2568,6.30062,0.140428,6.15707e-5,0.00012207,9.95584e-7,5.43147e-6
1048576,32768,12,4,0,2.03967,9.44706,9.37387,0.139354,1.38104e-5,0.00012207,0.000122041,0.00141261
1048576,65536,1,3,0,0.514769,7.25312,2.36587,0.135787,1.59208e-5,6.10352e-5,8.73328e-11,2.79465e-9
1048576,65536,1,3,32768,0.514689,7.254,2.36565,0.136181,1.38077e-5,6.10352e-5,8.73328e-11,3.14398e-9
1048576,65536,2,2,0,0.357833,5.25322,1.64455,0.131262,4.67425e-6,6.10352e-5,1.69151e-7,1.08726e-6
1048576,65536,2,2,32768,0.357258,5.25553,1.64196,0.130911,6.4121e-6,6.10352e-5,1.6077e-7,9.17469e-7
1048576,65536,2,6,0,1.02192,13.2531,4.697,0.136059,0.000287014,6.10352e-5,0,0
1048576,65536,2,6,32768,1.01981,13.254,4.68732,0.135821,6.28994e-5,6.10352e-5,1.74666e-10,6.28796e-9
1048576,65536,3,1,0,0.52467,3.29628,2.41134,0.12007,3.00696e-6,6.10352e-5,6.09791e-5,0.000486055
1048576,65536,3,1,32768,0.524085,3.73272,2.40867,0.110582,5.59297e-6,6.10352e-5,6.08417e-5,0.000425856
1048576,65536,4,4,0,0.692828,9.25331,3.184,0.136239,1.23804e-5,6.10352e-5,2.9814e-7,2.01678e-6
1048576,65536,4,4,32768,0.695237,9.25692,3.19533,0.136343,2.17715e-5,6.10352e-5,1.66241e-7,1.20839e-6
1048576,65536,4,12,0,2.03043,25.2531,9.33153,0.135567,0.000313296,6.10352e-5,0,0
1048576,65536,4,12,32768,2.02897,25.254,9.325,0.135977,0.000208447,6.10352e-5,0,0
1048576,65536,6,2,0,1.02813,5.34735,4.72505,0.128109,7.53385e-6,6.10352e-5,6.10242e-5,0.000702027
1048576,65536,6,2,32768,1.03088,5.78484,4.73799,0.111517,1.62687e-5,6.10352e-5,6.10228e-5,0.000669425
1048576,65536,8,8,0,1.36534,17.2534,6.27556,0.1396,2.57187e-5,6.10352e-5,1.94879e-7,1.84053e-6
1048576,65536,8,8,32768,1.36759,17.2581,6.28567,0.139495,3.87344e-5,6.10352e-5,2.25613e-7,2.14507e-6
1048576,65536,12,4,0,2.03823,9.43735,9.36781,0.136327,1.65236e-5,6.10352e-5,6.10226e-5,0.000894779
1048576,65536,12,4,32768,2.03873,9.87612,9.37065,0.118212,3.24239e-5,6.10352e-5,6.10257e-5,0.000879619
1048576,131072,1,3,0,0.514132,7.25159,2.36275,0.135012,2.40468e-5,3.05176e-5,8.73328e-11,3.23131e-9
1048576,131072,1,3,32768,0.514007,7.252,2.36248,0.135124,1.7665e-5,3.05176e-5,8.73328e-11,2.96932e-9
1048576,131072,2,2,0,0.356826,5.25173,1.63971,0.13024,3.03664e-6,3.05176e-5,1.72295e-7,1.56439e-6
1048576,131072,2,2,32768,0.356682,5.25302,1.63934,0.130118,6.1593e-6,3.05176e-5,9.1386e-8,7.3039e-7
1048576,131072,2,6,0,1.01851,13.2516,4.68123,0.134926,7.9352e-5,3.05176e-5,1.74666e-10,6.1133e-9
1048576,131072,2,6,32768,1.02122,13.252,4.69354,0.135265,8.91593e-5,3.05176e-5,1.74666e-10,5.93863e-9
1048576,131072,3,1,0,0.522895,3.29405,2.40336,0.120139,3.10241e-6,3.05176e-5,3.04773e-5,0.000336476
1048576,131072,3,1,32768,0.523475,3.51341,2.40603,0.119477,3.71994e-6,3.05176e-5,3.04441e-5,0.000322656
1048576,131072,4,4,0,0.692333,9.25178,3.1821,0.135028,1.25761e-5,3.05176e-5,2.66475e-7,1.67929e-6
1048576,131072,4,4,32768,0.694126,9.25743,3.19056,0.135742,1.33046e-5,3.05176e-5,2.163e-7,1.73796e-6
1048576,131072,4,12,0,2.03015,25.2517,9.3308,0.134284,0.000272222,3.05176e-5,3.49587e-10,1.25851e-8
1048576,131072,4,12,32768,2.04944,25.2521,9.41781,0.134926,0.00236867,3.05176e-5,3.49587e-10,1.1886e-8
