Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
262144,32768,6,2,0,1.03035,13.3816,4.73266,0.149002,3.98497e-6,0.00012207,1.74634e-10,7.68388e-9
262144,32768,8,8,0,1.37028,17.3821,6.29438,0.148879,4.3218e-6,0.00012207,6.90343e-7,4.39654e-6
262144,32768,12,4,0,2.03995,25.3818,9.37068,0.148972,1.6661e-5,0.00012207,6.98663e-10,2.13092e-8
524288,16384,1,3,0,0.522538,3.44171,2.39985,0.147954,1.37751e-6,0.000244141,0.000241194,0.000890374
524288,16384,2,2,0,0.362192,5.38784,1.66324,0.146812,1.69943e-6,0.000244141,1.16747e-6,3.4218e-6
524288,16384,2,6,0,1.02618,5.49418,4.71336,0.150247,1.71364e-6,0.000244141,0.000243851,0.00146018
524288,16384,3,1,0,0.529185,7.38772,2.43085,0.150878,3.10699e-6,0.000244141,1.74634e-10,6.46144e-9
524288,16384,4,4,0,0.696644,9.38774,3.19958,0.148327,5.27187e-6,0.000244141,5.0012e-7,1.81491e-6
524288,16384,4,12,0,2.0435,9.59046,9.38498,0.152516,3.48912e-6,0.000244141,0.000243886,0.00211442
524288,16384,6,2,0,1.03133,13.3878,4.73703,0.150426,1.73301e-5,0.000244141,3.49331e-10,1.06546e-8
524288,16384,8,8,0,1.37407,17.3883,6.31115,0.14965,1.87396e-5,0.000244141,2.8545e-7,1.48709e-6
524288,16384,12,4,0,2.04577,25.3881,9.39673,0.15213,8.04559e-5,0.000244141,3.49331e-10,1.53706e-8
524288,32768,1,3,0,0.517517,3.4328,2.377,0.144355,1.01785e-6,0.00012207,0.000121599,0.000711672
524288,32768,2,2,0,0.359028,5.38139,1.64897,0.145484,2.21614e-6,0.00012207,1.79047e-7,7.52625e-7
524288,32768,2,6,0,1.02562,5.48192,4.71064,0.147641,2.51379e-6,0.00012207,0.000121945,0.00105269
524288,32768,3,1,0,0.526996,7.38149,2.4207,0.148395,2.60344e-6,0.00012207,1.74634e-10,5.93754e-9
524288,32768,4,4,0,0.697135,9.38178,3.20181,0.148391,5.36942e-6,0.00012207,5.73229e-7,3.5275e-6
524288,32768,4,12,0,2.03912,9.57352,9.36446,0.14955,7.92633e-6,0.00012207,0.000121991,0.00141489
524288,32768,6,2,0,1.03351,13.3816,4.74659,0.148889,2.03173e-5,0.00012207,3.49331e-10,9.25728e-9
524288,32768,8,8,0,1.37006,17.382,6.29295,0.147232,1.16888e-5,0.00012207,3.8743e-7,3.00282e-6
524288,32768,12,4,0,2.04707,25.3819,9.40297,0.148638,7.33225e-5,0.00012207,6.98663e-10,2.16585e-8
524288,65536,1,3,0,0.516244,3.42669,2.37109,0.142477,1.52001e-6,6.10352e-5,6.08422e-5,0.000516273
524288,65536,1,3,32768,0.51653,3.73869,2.37227,0.144319,4.13463e-6,6.10352e-5,6.09306e-5,0.000462625
524288,65536,2,2,0,0.358829,5.37842,1.64797,0.144003,1.38162e-6,6.10352e-5,3.02447e-7,2.02918e-6
524288,65536,2,2,32768,0.360422,5.38055,1.655,0.144492,4.78362e-6,6.10352e-5,1.93017e-7,1.02672e-6
524288,65536,2,6,0,1.02448,5.47355,4.70546,0.145001,2.31065e-6,6.10352e-5,6.0996e-5,0.000705058
524288,65536,2,6,32768,1.02325,5.78734,4.69974,0.142523,8.24474e-6,6.10352e-5,6.09821e-5,0.000678692
524288,65536,3,1,0,0.527502,7.37828,2.42233,0.146718,9.31697e-6,6.10352e-5,8.73168e-11,3.84194e-9
524288,65536,3,1,32768,0.525947,7.37908,2.41514,0.146529,4.41779e-6,6.10352e-5,2.6195e-10,6.98535e-9
524288,65536,4,4,0,0.694215,9.37838,3.18841,0.14685,5.82042e-6,6.10352e-5,8.25385e-8,4.96977e-7
524288,65536,4,4,32768,0.695452,9.37973,3.19408,0.146625,8.42009e-6,6.10352e-5,6.49597e-8,4.79049e-7
524288,65536,4,12,0,2.03421,9.56238,9.34254,0.147072,6.27224e-6,6.10352e-5,6.10198e-5,0.000893952
524288,65536,4,12,32768,2.04345,9.87842,9.38573,0.147746,1.31188e-5,6.10352e-5,6.10233e-5,0.000881557
524288,65536,6,2,0,1.02855,13.3785,4.72413,0.146724,1.4769e-5,6.10352e-5,3.49331e-10,1.08293e-8
524288,65536,6,2,32768,1.03046,13.3793,4.73272,0.146286,1.28058e-5,6.10352e-5,3.49331e-10,1.22266e-8
524288,65536,8,8,0,1.36872,17.3787,6.28619,0.146668,1.88116e-5,6.10352e-5,3.32948e-8,2.90573e-7
524288,65536,8,8,32768,1.37005,17.3803,6.29235,0.146249,2.21343e-5,6.10352e-5,4.65661e-8,4.50062e-7
524288,65536,12,4,0,2.04405,25.379,9.38859,0.147024,7.22784e-5,6.10352e-5,6.98663e-10,2.44532e-8
524288,65536,12,4,32768,2.04247,25.3796,9.38096,0.146627,5.77252e-5,6.10352e-5,3.49331e-10,1.53706e-8
1048576,32768,1,3,0,0.518233,3.43287,2.38017,0.14477,1.98769e-6,0.00012207,0.000121534,0.000711612
1048576,32768,2,2,0,0.359924,5.38145,1.65309,0.144992,6.47648e-6,0.00012207,1.4418e-7,6.56233e-7
