Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
4,134217728,1.00076,0.500001,3.48792,0.12834,0.120476
5,8192,0.0381026,0.503906,0.136717,1.3372e-6,7.79808e-7
5,16384,0.0365569,0.501953,0.131152,3.04381e-6,1.33926e-6
5,32768,0.0358032,0.500977,0.12845,2.96949e-6,2.67659e-6
5,65536,0.0690464,0.500488,0.24759,0.0263056,9.79555e-6
5,131072,0.0643141,0.500244,0.230667,0.0132095,1.99053e-5
5,524288,0.125201,0.500061,0.448885,0.142291,5.33217e-6
5,1048576,0.129779,0.500031,0.465006,0.148706,3.66532e-5
5,2097152,0.136161,0.500015,0.486554,0.148338,0.00067947
5,3145728,0.159037,0.50001,0.564742,0.134764,0.00402373
5,4194304,0.204703,0.500008,0.719806,0.123913,0.0116645
5,5242880,0.284865,0.500006,0.999237,0.121945,0.0243536
5,6291456,0.543049,0.500005,1.89139,0.123466,0.0574302
5,7340032,0.886754,0.500005,3.08351,0.127344,0.100342
5,8388608,0.787005,0.500004,2.73694,0.126134,0.0757093
5,10485760,0.994232,0.500003,3.46007,0.127264,0.0983217
5,12582912,1.03009,0.500003,3.58629,0.127463,0.101565
5,14680064,1.07851,0.500003,3.75409,0.127617,0.105585
5,16777216,1.10924,0.500002,3.86066,0.127828,0.108999
5,33554432,1.23497,0.500001,4.29779,0.128281,0.116999
5,67108864,1.26338,0.500001,4.40549,0.128447,0.119774
5,134217728,1.26955,0.500001,4.42348,0.128483,0.120788
6,8192,0.038164,0.503906,0.136931,1.21487e-6,5.41215e-7
6,16384,0.036587,0.501953,0.131248,3.43395e-6,1.16971e-6
6,32768,0.0358003,0.500977,0.12844,2.85816e-6,2.21365e-6
6,65536,0.0594014,0.500488,0.213058,2.29574e-5,1.2974e-5
6,131072,0.0726343,0.500244,0.260484,0.0327161,1.85121e-5
6,524288,0.132163,0.500061,0.473842,0.145167,5.46931e-6
6,1048576,0.137513,0.500031,0.492506,0.149241,5.7835e-5
6,2097152,0.15197,0.500015,0.541583,0.148394,0.00211082
6,3145728,0.259024,0.50001,0.913339,0.124701,0.0216977
6,4194304,0.312164,0.500008,1.09347,0.121307,0.0224243
6,5242880,0.559034,0.500006,1.94525,0.122139,0.0463407
6,6291456,1.08527,0.500005,3.77171,0.125413,0.0936824
6,7340032,1.17169,0.500005,4.07115,0.127239,0.0971945
6,8388608,1.1998,0.500004,4.17233,0.127348,0.0979768
6,10485760,1.263,0.500003,4.3935,0.127581,0.1024
6,12582912,1.31721,0.500003,4.58207,0.127811,0.107271
6,14680064,1.34878,0.500003,4.69233,0.127952,0.109681
6,16777216,1.36644,0.500002,4.75538,0.128043,0.111168
6,33554432,1.51008,0.500001,5.2576,0.128472,0.118485
6,67108864,1.52892,0.500001,5.33419,0.128545,0.12028
6,134217728,1.54091,0.500001,5.38501,0.128575,0.120924
7,8192,0.0381545,0.503906,0.136871,1.68481e-6,6.67918e-7
7,16384,0.0365759,0.501953,0.131211,3.08277e-6,1.11165e-6
7,32768,0.0359079,0.500977,0.128799,3.1794e-6,2.29251e-6
7,65536,0.0590916,0.500488,0.211952,2.12567e-5,1.08846e-5
