Size,Repeat,Do Wait,Time (ns)
1024,1024,0,13.821372032165527
1024,1024,0,13.846927642822266
1024,1024,0,13.857090950012207
1024,1024,0,13.868736267089844
1024,1024,0,13.86877155303955
1024,1024,0,13.888641357421875
1024,1024,0,13.972673416137695
1024,1024,0,13.991920471191406
1024,1024,0,14.025083541870117
1024,1024,0,14.035796165466309
1024,1024,0,14.050487518310547
1024,1024,0,14.090303421020508
1024,1024,0,14.104875564575195
1024,1024,0,14.129294395446777
1024,1024,0,14.152170181274414
1024,1024,0,14.212542533874512
1024,1024,0,14.21432113647461
1024,1024,0,14.241676330566406
1024,1024,0,14.272006034851074
1024,1024,0,14.27279281616211
1024,1024,0,14.311659812927246
1024,1024,0,14.42866039276123
1024,1024,0,14.496569633483887
1024,1024,0,14.77293586730957
1024,1024,0,14.876011848449707
1024,1024,0,14.880382537841797
1024,1024,0,14.92939567565918
1024,1024,0,14.931289672851562
1024,1024,0,14.947025299072266
1024,1024,0,14.950204849243164
1024,1024,0,14.961238861083984
1024,1024,0,14.96633529663086
1024,1024,0,14.969008445739746
1024,1024,0,14.972796440124512
1024,1024,0,15.049762725830078
1024,1024,0,15.06589412689209
1024,1024,0,15.072000503540039
1024,1024,0,15.0853910446167
1024,1024,0,15.092202186584473
1024,1024,0,15.097455024719238
1024,1024,0,15.099095344543457
1024,1024,0,15.117292404174805
1024,1024,0,15.124367713928223
1024,1024,0,15.124979972839355
1024,1024,0,15.12565803527832
1024,1024,0,15.126604080200195
1024,1024,0,15.13118839263916
1024,1024,0,15.13476848602295
1024,1024,0,15.137456893920898
1024,1024,0,15.140613555908203
1024,1024,0,15.142388343811035
1024,1024,0,15.146198272705078
1024,1024,0,15.147032737731934
1024,1024,0,15.147270202636719
1024,1024,0,15.149343490600586
1024,1024,0,15.155232429504395
1024,1024,0,15.156472206115723
1024,1024,0,15.158393859863281
1024,1024,0,15.160666465759277
1024,1024,0,15.160999298095703
1024,1024,0,15.163227081298828
1024,1024,0,15.163775444030762
1024,1024,0,15.167219161987305
1024,1024,0,15.167455673217773
1024,1024,0,15.16816234588623
1024,1024,0,15.174156188964844
1024,1024,0,15.175503730773926
1024,1024,0,15.176762580871582
1024,1024,0,15.17770004272461
1024,1024,0,15.178884506225586
1024,1024,0,15.179171562194824
1024,1024,0,15.182439804077148
1024,1024,0,15.18497371673584
1024,1024,0,15.185201644897461
1024,1024,0,15.18701457977295
1024,1024,0,15.187274932861328
1024,1024,0,15.187765121459961
1024,1024,0,15.188688278198242
1024,1024,0,15.194039344787598
1024,1024,0,15.195354461669922
1024,1024,0,15.199633598327637
1024,1024,0,15.20001220703125
1024,1024,0,15.200522422790527
1024,1024,0,15.201425552368164
1024,1024,0,15.203971862792969
1024,1024,0,15.204355239868164
1024,1024,0,15.205240249633789
1024,1024,0,15.207784652709961
1024,1024,0,15.208434104919434
1024,1024,0,15.21220874786377
1024,1024,0,15.213197708129883
1024,1024,0,15.21794319152832
1024,1024,0,15.220303535461426
1024,1024,0,15.221002578735352
1024,1024,0,15.221779823303223
1024,1024,0,15.22210693359375
1024,1024,0,15.226884841918945
1024,1024,0,15.228647232055664
1024,1024,0,15.229576110839844
1024,1024,0,15.229850769042969
1024,1024,0,15.230093002319336
1024,1024,0,15.232878684997559
1024,1024,0,15.233329772949219
1024,1024,0,15.233635902404785
1024,1024,0,15.234817504882812
1024,1024,0,15.235595703125
1024,1024,0,15.235858917236328
