Size,Repeat,Do Wait,Time (ns)
1024,1024,0,17.24625587463379
1024,1024,0,17.278620719909668
1024,1024,0,17.297775268554688
1024,1024,0,17.298481941223145
1024,1024,0,17.3051700592041
1024,1024,0,17.306716918945312
1024,1024,0,17.307242393493652
1024,1024,0,17.312050819396973
1024,1024,0,17.316454887390137
1024,1024,0,17.3176212310791
1024,1024,0,17.32009220123291
1024,1024,0,17.326316833496094
1024,1024,0,17.32950782775879
1024,1024,0,17.331814765930176
1024,1024,0,17.33607578277588
1024,1024,0,17.33818244934082
1024,1024,0,17.34465217590332
1024,1024,0,17.349639892578125
1024,1024,0,17.349743843078613
1024,1024,0,17.35024929046631
1024,1024,0,17.35160541534424
1024,1024,0,17.354982376098633
1024,1024,0,17.35770606994629
1024,1024,0,17.35789394378662
1024,1024,0,17.35838031768799
1024,1024,0,17.358997344970703
1024,1024,0,17.361122131347656
1024,1024,0,17.362062454223633
1024,1024,0,17.362993240356445
1024,1024,0,17.36325740814209
1024,1024,0,17.365154266357422
1024,1024,0,17.369003295898438
1024,1024,0,17.371352195739746
1024,1024,0,17.373757362365723
1024,1024,0,17.378138542175293
1024,1024,0,17.38020896911621
1024,1024,0,17.380674362182617
1024,1024,0,17.382261276245117
1024,1024,0,17.38288116455078
1024,1024,0,17.38433265686035
1024,1024,0,17.38493824005127
1024,1024,0,17.386828422546387
1024,1024,0,17.38715362548828
1024,1024,0,17.393192291259766
1024,1024,0,17.394661903381348
1024,1024,0,17.396592140197754
1024,1024,0,17.397282600402832
1024,1024,0,17.398674964904785
1024,1024,0,17.398866653442383
1024,1024,0,17.399155616760254
1024,1024,0,17.400519371032715
1024,1024,0,17.40204906463623
1024,1024,0,17.40429973602295
1024,1024,0,17.404717445373535
1024,1024,0,17.406953811645508
1024,1024,0,17.410497665405273
1024,1024,0,17.410805702209473
1024,1024,0,17.410945892333984
1024,1024,0,17.413503646850586
1024,1024,0,17.4163818359375
1024,1024,0,17.4201021194458
1024,1024,0,17.424750328063965
1024,1024,0,17.425597190856934
1024,1024,0,17.42575454711914
1024,1024,0,17.42752456665039
1024,1024,0,17.42784023284912
1024,1024,0,17.428385734558105
1024,1024,0,17.42941379547119
1024,1024,0,17.438944816589355
1024,1024,0,17.441434860229492
1024,1024,0,17.44406032562256
1024,1024,0,17.447586059570312
1024,1024,0,17.44772720336914
1024,1024,0,17.448697090148926
1024,1024,0,17.449135780334473
1024,1024,0,17.456124305725098
1024,1024,0,17.45679759979248
1024,1024,0,17.458765029907227
1024,1024,0,17.459939002990723
1024,1024,0,17.462407112121582
1024,1024,0,17.473255157470703
1024,1024,0,17.473641395568848
1024,1024,0,17.474371910095215
1024,1024,0,17.47688865661621
1024,1024,0,17.47784996032715
1024,1024,0,17.478341102600098
1024,1024,0,17.478792190551758
1024,1024,0,17.481569290161133
1024,1024,0,17.48197841644287
1024,1024,0,17.482505798339844
1024,1024,0,17.482943534851074
1024,1024,0,17.486051559448242
1024,1024,0,17.48940372467041
1024,1024,0,17.49160099029541
1024,1024,0,17.49572467803955
1024,1024,0,17.49616527557373
1024,1024,0,17.497002601623535
1024,1024,0,17.500439643859863
1024,1024,0,17.502690315246582
1024,1024,0,17.504667282104492
1024,1024,0,17.5084285736084
1024,1024,0,17.51910972595215
1024,1024,0,17.52234935760498
1024,1024,0,17.531902313232422
1024,1024,0,17.532076835632324
1024,1024,0,17.576372146606445
1024,1024,0,17.622239112854004
1024,1024,0,17.682626724243164
1024,1024,0,17.731118202209473
1024,1024,0,17.77023696899414
1024,1024,0,17.798218727111816
1024,1024,0,17.847328186035156
1024,1024,0,17.880138397216797
1024,1024,0,18.292960166931152
1024,1024,0,18.397741317749023
1024,1024,0,18.574182510375977
1024,1024,0,19.440375328063965
1024,1024,0,22.320863723754883
1024,1024,0,27.130148887634277
1024,1024,0,31.6818790435791
1024,1024,1,19.757107734680176
1024,1024,1,24.93358039855957
1024,1024,1,25.600116729736328
1024,1024,1,25.741995811462402
1024,1024,1,25.79610252380371
1024,1024,1,25.861007690429688
1024,1024,1,25.872937202453613
1024,1024,1,25.939071655273438
1024,1024,1,25.999262809753418
1024,1024,1,26.06405544281006
1024,1024,1,26.068400382995605
1024,1024,1,26.074153900146484
1024,1024,1,26.075439453125
1024,1024,1,26.113085746765137
1024,1024,1,26.12167263031006
1024,1024,1,26.13579559326172
1024,1024,1,26.161026000976562
1024,1024,1,26.166799545288086
1024,1024,1,26.17156410217285
1024,1024,1,26.17904281616211
1024,1024,1,26.179293632507324
1024,1024,1,26.18319606781006
1024,1024,1,26.18455219268799
1024,1024,1,26.202345848083496
1024,1024,1,26.207871437072754
1024,1024,1,26.216312408447266
1024,1024,1,26.226472854614258
1024,1024,1,26.238301277160645
1024,1024,1,26.238542556762695
1024,1024,1,26.24761962890625
1024,1024,1,26.253687858581543
1024,1024,1,26.26150417327881
1024,1024,1,26.263108253479004
1024,1024,1,26.279905319213867
1024,1024,1,26.296162605285645
1024,1024,1,26.31358528137207
1024,1024,1,26.31669044494629
1024,1024,1,26.335881233215332
1024,1024,1,26.34667205810547
1024,1024,1,26.35908603668213
1024,1024,1,26.369672775268555
1024,1024,1,26.39555835723877
1024,1024,1,26.40301513671875
1024,1024,1,26.409839630126953
1024,1024,1,26.42294406890869
1024,1024,1,26.427570343017578
1024,1024,1,26.449007034301758
1024,1024,1,26.44907855987549
1024,1024,1,26.45937728881836
1024,1024,1,26.46193790435791
1024,1024,1,26.464534759521484
1024,1024,1,26.475796699523926
1024,1024,1,26.47701358795166
1024,1024,1,26.480969429016113
1024,1024,1,26.481447219848633
1024,1024,1,26.48977279663086
1024,1024,1,26.498964309692383
1024,1024,1,26.5075044631958
1024,1024,1,26.519984245300293
1024,1024,1,26.52794647216797
1024,1024,1,26.52843952178955
1024,1024,1,26.53097152709961
1024,1024,1,26.574461936950684
1024,1024,1,26.582929611206055
1024,1024,1,26.589423179626465
1024,1024,1,26.59165096282959
1024,1024,1,26.601009368896484
1024,1024,1,26.604008674621582
1024,1024,1,26.607239723205566
1024,1024,1,26.6255521774292
1024,1024,1,26.633845329284668
1024,1024,1,26.64475154876709
1024,1024,1,26.645546913146973
1024,1024,1,26.652413368225098
1024,1024,1,26.658808708190918
1024,1024,1,26.70352554321289
1024,1024,1,26.704976081848145
1024,1024,1,26.72512149810791
1024,1024,1,26.732768058776855
1024,1024,1,26.737853050231934
1024,1024,1,26.755163192749023
1024,1024,1,26.756226539611816
1024,1024,1,26.7952299118042
1024,1024,1,26.8047513961792
1024,1024,1,26.85013771057129
1024,1024,1,26.86056137084961
1024,1024,1,26.871057510375977
1024,1024,1,26.89848041534424
1024,1024,1,26.908617973327637
1024,1024,1,26.92516326904297
1024,1024,1,26.955086708068848
1024,1024,1,26.959924697875977
1024,1024,1,26.98150634765625
1024,1024,1,27.01590919494629
1024,1024,1,27.077648162841797
1024,1024,1,27.19182777404785
1024,1024,1,27.1945858001709
1024,1024,1,27.39354133605957
1024,1024,1,27.49812602996826
1024,1024,1,27.852794647216797
1024,1024,1,27.905631065368652
1024,1024,1,27.97593116760254
1024,1024,1,27.993138313293457
1024,1024,1,28.04890727996826
1024,1024,1,28.09324550628662
1024,1024,1,28.116737365722656
1024,1024,1,28.191429138183594
1024,1024,1,28.2096586227417
1024,1024,1,28.238211631774902
1024,1024,1,28.242706298828125
1024,1024,1,28.247790336608887
1024,1024,1,28.426618576049805
1024,1024,1,28.571062088012695
1024,1024,1,28.62535572052002
1024,1024,1,28.706165313720703
1024,1024,1,28.978657722473145
1024,1024,1,30.642884254455566
1024,1024,1,31.58772087097168
1024,1024,1,31.725348472595215
1024,1024,1,47.84330368041992
2048,1024,0,8.681307792663574
2048,1024,0,8.692227840423584
2048,1024,0,8.700051307678223
2048,1024,0,8.703533172607422
2048,1024,0,8.70729398727417
2048,1024,0,8.710655212402344
2048,1024,0,8.712567806243896
2048,1024,0,8.712990760803223
2048,1024,0,8.713676929473877
2048,1024,0,8.71537446975708
2048,1024,0,8.71584177017212
2048,1024,0,8.716664791107178
2048,1024,0,8.717298984527588
2048,1024,0,8.718265056610107
2048,1024,0,8.720253467559814
2048,1024,0,8.721168518066406
2048,1024,0,8.721331119537354
2048,1024,0,8.723183631896973
2048,1024,0,8.723872184753418
2048,1024,0,8.724331855773926
2048,1024,0,8.725317478179932
2048,1024,0,8.7260422706604
2048,1024,0,8.726042747497559
2048,1024,0,8.726318836212158
2048,1024,0,8.726625919342041
2048,1024,0,8.727800369262695
2048,1024,0,8.729803085327148
2048,1024,0,8.729872703552246
2048,1024,0,8.73069143295288
2048,1024,0,8.730757236480713
2048,1024,0,8.730920791625977
2048,1024,0,8.731372356414795
2048,1024,0,8.732245922088623
2048,1024,0,8.732988357543945
2048,1024,0,8.733907222747803
2048,1024,0,8.734775066375732
2048,1024,0,8.735522747039795
2048,1024,0,8.736028671264648
2048,1024,0,8.738873958587646
2048,1024,0,8.740106582641602
2048,1024,0,8.740633010864258
2048,1024,0,8.740857124328613
2048,1024,0,8.74233341217041
2048,1024,0,8.745546817779541
2048,1024,0,8.745956420898438
2048,1024,0,8.746607303619385
2048,1024,0,8.746705532073975
2048,1024,0,8.747286319732666
2048,1024,0,8.748259544372559
2048,1024,0,8.74846076965332
2048,1024,0,8.748711585998535
2048,1024,0,8.74886178970337
2048,1024,0,8.749325275421143
2048,1024,0,8.749690055847168
2048,1024,0,8.749817371368408
2048,1024,0,8.75059461593628
2048,1024,0,8.753281593322754
2048,1024,0,8.754018783569336
2048,1024,0,8.754640102386475
2048,1024,0,8.756129264831543
2048,1024,0,8.75615644454956
2048,1024,0,8.757962703704834
