Size,Repeat,Do Wait,Time (ns)
1024,1024,0,2.960240364074707
1024,1024,0,2.9627513885498047
1024,1024,0,2.963165283203125
1024,1024,0,2.9906911849975586
1024,1024,0,3.012002944946289
1024,1024,0,3.020543098449707
1024,1024,0,3.026799201965332
1024,1024,0,3.0298824310302734
1024,1024,0,3.0356855392456055
1024,1024,0,3.0364789962768555
1024,1024,0,3.038003921508789
1024,1024,0,3.047077178955078
1024,1024,0,3.0898609161376953
1024,1024,0,3.113250732421875
1024,1024,0,3.117953300476074
1024,1024,0,3.125786781311035
1024,1024,0,3.1288862228393555
1024,1024,0,3.142970085144043
1024,1024,0,3.196730613708496
1024,1024,0,3.2176637649536133
1024,1024,0,3.221503257751465
1024,1024,0,3.226944923400879
1024,1024,0,3.2291688919067383
1024,1024,0,3.2389135360717773
1024,1024,0,3.241456985473633
1024,1024,0,3.2572555541992188
1024,1024,0,3.260700225830078
1024,1024,0,3.2689027786254883
1024,1024,0,3.272481918334961
1024,1024,0,3.2808942794799805
1024,1024,0,3.28513240814209
1024,1024,0,3.285550117492676
1024,1024,0,3.2894105911254883
1024,1024,0,3.2933168411254883
1024,1024,0,3.2984933853149414
1024,1024,0,3.30153751373291
1024,1024,0,3.305919647216797
1024,1024,0,3.30704402923584
1024,1024,0,3.3135814666748047
1024,1024,0,3.316864013671875
1024,1024,0,3.3266420364379883
1024,1024,0,3.330735206604004
1024,1024,0,3.333711624145508
1024,1024,0,3.337355613708496
1024,1024,0,3.3452415466308594
1024,1024,0,3.3646297454833984
1024,1024,0,3.365865707397461
1024,1024,0,3.368260383605957
1024,1024,0,3.3723983764648438
1024,1024,0,3.3756370544433594
1024,1024,0,3.3772716522216797
1024,1024,0,3.3832483291625977
1024,1024,0,3.386384963989258
1024,1024,0,3.387495994567871
1024,1024,0,3.388077735900879
1024,1024,0,3.390130043029785
1024,1024,0,3.3910818099975586
1024,1024,0,3.3914928436279297
1024,1024,0,3.3929595947265625
1024,1024,0,3.3961057662963867
1024,1024,0,3.3966407775878906
1024,1024,0,3.401325225830078
1024,1024,0,3.4020748138427734
1024,1024,0,3.404651641845703
1024,1024,0,3.4102783203125
1024,1024,0,3.413331985473633
1024,1024,0,3.416701316833496
1024,1024,0,3.417268753051758
1024,1024,0,3.418508529663086
1024,1024,0,3.420429229736328
1024,1024,0,3.424269676208496
1024,1024,0,3.424345016479492
1024,1024,0,3.426168441772461
1024,1024,0,3.427016258239746
1024,1024,0,3.4298973083496094
1024,1024,0,3.435297966003418
1024,1024,0,3.4415035247802734
1024,1024,0,3.441525459289551
1024,1024,0,3.4425134658813477
1024,1024,0,3.442814826965332
1024,1024,0,3.444650650024414
1024,1024,0,3.4477739334106445
1024,1024,0,3.4481325149536133
1024,1024,0,3.4482603073120117
1024,1024,0,3.450469970703125
1024,1024,0,3.4513683319091797
1024,1024,0,3.453685760498047
1024,1024,0,3.45419979095459
1024,1024,0,3.454400062561035
1024,1024,0,3.455752372741699
1024,1024,0,3.460251808166504
1024,1024,0,3.460287094116211
1024,1024,0,3.4610719680786133
1024,1024,0,3.463064193725586
1024,1024,0,3.4644031524658203
1024,1024,0,3.464838981628418
1024,1024,0,3.466033935546875
1024,1024,0,3.4665908813476562
1024,1024,0,3.469024658203125
1024,1024,0,3.470060348510742
1024,1024,0,3.4704370498657227
1024,1024,0,3.471205711364746
1024,1024,0,3.471281051635742
1024,1024,0,3.47174072265625
1024,1024,0,3.472515106201172
1024,1024,0,3.473102569580078
1024,1024,0,3.473348617553711
1024,1024,0,3.473973274230957
1024,1024,0,3.475006103515625
1024,1024,0,3.4756088256835938
1024,1024,0,3.475984573364258
1024,1024,0,3.4768409729003906
1024,1024,0,3.4791526794433594
1024,1024,0,3.479238510131836
1024,1024,0,3.4798851013183594
1024,1024,0,3.480288505554199
1024,1024,0,3.4810123443603516
1024,1024,0,3.4810619354248047
1024,1024,0,3.4812755584716797
1024,1024,0,3.4813432693481445
1024,1024,0,3.482327461242676
1024,1024,0,3.4825668334960938
1024,1024,0,3.4842214584350586
1024,1024,0,3.4864301681518555
1024,1024,0,3.486598014831543
1024,1024,0,3.4872045516967773
1024,1024,0,3.487234115600586
1024,1024,0,3.489109992980957
1024,1024,0,3.489689826965332
1024,1024,0,3.4917898178100586
1024,1024,0,3.4918136596679688
1024,1024,0,3.492704391479492
1024,1024,0,3.4930543899536133
1024,1024,0,3.4936323165893555
1024,1024,0,3.495001792907715
1024,1024,0,3.4963884353637695
1024,1024,0,3.4977188110351562
1024,1024,0,3.4979114532470703
1024,1024,0,3.500072479248047
1024,1024,0,3.500086784362793
1024,1024,0,3.5004310607910156
1024,1024,0,3.5006837844848633
1024,1024,0,3.5008325576782227
1024,1024,0,3.501089096069336
1024,1024,0,3.5020570755004883
1024,1024,0,3.502105712890625
1024,1024,0,3.506265640258789
1024,1024,0,3.506610870361328
1024,1024,0,3.5068740844726562
1024,1024,0,3.5068817138671875
1024,1024,0,3.5071306228637695
1024,1024,0,3.508249282836914
1024,1024,0,3.508694648742676
