Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
4,262144,0.276741,0.250153,1.03645,4.0236e-9,1.38971e-9
4,524288,0.276866,0.250076,1.03756,3.06318e-9,1.81171e-9
4,1048576,0.276643,0.250038,1.033,6.43195e-9,2.85218e-9
4,2097152,0.275843,0.250019,1.02704,5.98811e-9,2.32831e-9
4,3145728,0.275467,0.250013,1.03024,6.22824e-9,1.88448e-9
4,4194304,0.275553,0.25001,1.03091,7.989e-9,2.42289e-9
4,5242880,0.275184,0.250008,1.0265,4.53295e-9,1.38972e-9
4,6291456,0.274828,0.250006,1.0305,6.04634e-9,1.70986e-9
4,7340032,0.275283,0.250006,1.03307,1.94996e-9,3.78351e-10
4,8388608,0.274988,0.250005,1.02878,2.16096e-9,8.22183e-10
4,9437184,0.274853,0.250004,1.03146,1.8772e-9,3.56523e-10
4,10485760,0.274578,0.250004,1.02674,7.4798e-9,1.8845e-9
4,11534336,0.275565,0.250004,1.03145,3.18691e-9,4.51115e-10
4,12582912,0.274965,0.250003,1.03109,6.27925e-9,1.38245e-9
4,13631488,0.275074,0.250003,1.03033,2.87406e-9,3.85634e-10
4,14680064,0.274496,0.250003,1.0215,8.78939e-9,2.25556e-9
4,15728640,0.274767,0.250003,1.03102,4.47478e-9,1.49887e-9
4,16777216,0.274697,0.250002,1.02711,1.13068e-8,2.59024e-9
4,33554432,0.274031,0.250001,1.01918,1.54178e-8,3.04135e-9
4,67108864,0.27264,0.250001,1.02257,2.39306e-8,2.14641e-9
4,134217728,0.271543,0.25,1.01242,7.786e-8,3.71801e-9
4,268435456,0.270107,0.25,1.01304,4.96701e-7,5.24597e-9
5,8192,0.335624,0.254883,1.24013,3.12139e-9,1.28057e-9
5,16384,0.339252,0.252441,1.25397,4.75848e-9,3.37604e-9
5,32768,0.344268,0.251221,1.27178,4.07454e-9,2.51748e-9
5,65536,0.344783,0.25061,1.27357,4.73665e-9,1.94996e-9
5,131072,0.34539,0.250305,1.27634,5.09317e-9,2.17551e-9
5,262144,0.345192,0.250153,1.27514,3.07045e-9,1.64437e-9
5,524288,0.345834,0.250076,1.27747,2.37924e-9,1.66619e-9
5,1048576,0.345835,0.250038,1.27895,6.42467e-9,1.80444e-9
5,2097152,0.34538,0.250019,1.27595,4.48199e-9,1.62254e-9
5,3145728,0.345582,0.250013,1.27315,6.8176e-9,2.64846e-9
5,4194304,0.345117,0.25001,1.27441,5.15138e-9,1.49885e-9
5,5242880,0.345193,0.250008,1.27406,4.40926e-9,1.52068e-9
5,6291456,0.344605,0.250006,1.27354,4.82398e-9,2.03e-9
5,7340032,0.345061,0.250006,1.27519,4.77305e-9,2.16097e-9
5,8388608,0.344983,0.250005,1.27372,3.18687e-9,1.10595e-9
5,9437184,0.344717,0.250004,1.27159,5.71892e-9,1.65165e-9
5,10485760,0.345015,0.250004,1.27543,3.23057e-9,8.80404e-10
5,11534336,0.344813,0.250004,1.27311,2.63393e-9,5.23875e-10
5,12582912,0.344701,0.250003,1.27405,3.59438e-9,6.4757e-10
5,13631488,0.344869,0.250003,1.27435,9.0151e-9,2.12462e-9
5,14680064,0.344883,0.250003,1.2739,4.64208e-9,7.13047e-10
5,15728640,0.344791,0.250003,1.27514,6.38111e-9,1.45521e-9
5,16777216,0.344758,0.250002,1.27347,8.34552e-9,3.52156e-9
5,33554432,0.344681,0.250001,1.27197,1.84591e-8,2.874e-9
5,67108864,0.34341,0.250001,1.26944,1.87647e-8,2.68483e-9
5,134217728,0.342731,0.25,1.26609,8.83592e-8,4.72937e-9
5,268435456,0.34149,0.25,1.26032,1.0221e-6,7.47968e-9
6,8192,0.422894,0.254883,1.56236,2.0882e-9,1.30967e-9
6,16384,0.411572,0.252442,1.52185,4.04543e-9,1.89175e-9
6,32768,0.416933,0.251221,1.54162,4.44561e-9,2.34286e-9
6,65536,0.417524,0.25061,1.54369,5.54428e-9,2.86673e-9
6,131072,0.416504,0.250305,1.53813,5.44969e-9,2.17551e-9
6,262144,0.418864,0.250153,1.54762,3.58705e-9,1.92813e-9
6,524288,0.417814,0.250076,1.54316,2.74304e-9,1.46974e-9
6,1048576,0.417781,0.250038,1.54428,7.87259e-9,3.50701e-9
6,2097152,0.417467,0.250019,1.54287,5.59521e-9,2.34286e-9
6,3145728,0.417442,0.250013,1.54329,6.34466e-9,2.62663e-9
6,4194304,0.417436,0.25001,1.54198,7.4142e-9,3.31056e-9
6,5242880,0.417252,0.250008,1.54257,6.29374e-9,1.78262e-9
6,6291456,0.417783,0.250006,1.54472,8.29462e-9,2.43746e-9
6,7340032,0.416929,0.250006,1.54132,4.16914e-9,1.94269e-9
6,8388608,0.417106,0.250005,1.54024,4.52565e-9,1.89902e-9
6,9437184,0.416708,0.250004,1.54051,7.7562e-9,1.60799e-9
6,10485760,0.41706,0.250004,1.54186,7.90181e-9,1.41156e-9
6,11534336,0.417324,0.250004,1.54089,5.28968e-9,1.62256e-9
6,12582912,0.417367,0.250003,1.54045,7.18148e-9,9.96821e-10
6,13631488,0.417104,0.250003,1.54223,2.78093e-8,3.60167e-9
6,14680064,0.417128,0.250003,1.54152,1.02664e-8,2.2119e-9
6,15728640,0.417288,0.250003,1.54275,6.2938e-9,2.8886e-9
6,16777216,0.417251,0.250002,1.54144,1.52941e-8,3.14321e-9
6,33554432,0.417233,0.250001,1.54136,1.89102e-8,5.64614e-9
6,67108864,0.417817,0.250001,1.542,1.77461e-8,2.88856e-9
6,134217728,0.416824,0.25,1.53891,1.11002e-7,6.4465e-9
6,268435456,0.415377,0.25,1.5354,5.85649e-7,7.87986e-9
7,8192,0.491644,0.254883,1.81556,3.68163e-9,1.86992e-9
7,16384,0.488073,0.252442,1.80227,3.67436e-9,1.52795e-9
7,32768,0.485614,0.251221,1.79376,4.2055e-9,1.9354e-9
7,65536,0.487504,0.25061,1.80141,5.20231e-9,2.49565e-9
7,131072,0.48947,0.250305,1.80622,5.24597e-9,2.62662e-9
7,262144,0.489976,0.250153,1.81041,5.115e-9,1.99361e-9
7,524288,0.490481,0.250076,1.81143,5.00586e-9,2.26282e-9
7,1048576,0.490621,0.250038,1.81148,9.16771e-9,2.95404e-9
7,2097152,0.489913,0.250019,1.8091,5.00586e-9,1.92085e-9
7,3145728,0.489961,0.250013,1.81,1.22746e-8,2.59753e-9
7,4194304,0.489952,0.25001,1.81061,9.18953e-9,1.60071e-9
7,5242880,0.489873,0.250008,1.81022,3.18689e-9,1.46975e-9
7,6291456,0.491027,0.250006,1.81228,4.90401e-9,1.65892e-9
7,7340032,0.490739,0.250006,1.81366,4.37287e-9,2.10276e-9
7,8388608,0.491208,0.250005,1.81473,4.84579e-9,1.23691e-9
7,9437184,0.491414,0.250004,1.81532,4.0891e-9,1.64437e-9
7,10485760,0.491036,0.250004,1.81462,9.91001e-9,1.71715e-9
7,11534336,0.491269,0.250004,1.8147,5.1005e-9,1.48431e-9
7,12582912,0.491727,0.250003,1.81357,6.64305e-9,1.16417e-9
7,13631488,0.491889,0.250003,1.81846,9.09514e-9,2.67033e-9
7,14680064,0.491894,0.250003,1.81843,6.26462e-9,1.06957e-9
7,15728640,0.492013,0.250003,1.81754,6.36656e-9,3.03412e-9
7,16777216,0.492425,0.250003,1.81579,3.56013e-8,7.09406e-9
7,33554432,0.492549,0.250001,1.81804,1.92231e-8,4.42378e-9
7,67108864,0.491523,0.250001,1.81514,2.10784e-8,3.68891e-9
7,134217728,0.489907,0.25,1.80878,1.24957e-7,6.06815e-9
7,268435456,0.488222,0.25,1.80336,8.99025e-7,7.35599e-9
8,8192,0.562817,0.254883,2.05891,4.62023e-9,1.76078e-9
8,16384,0.562322,0.252442,2.05644,1.78261e-9,1.16415e-9
