Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
33554432,524288,0.000177091,0.000231394,0.000752209,1.91796e-5,7.76102e-11,7.62939e-6,3.10635e-8,3.17038e-8
33554432,1048576,0.000107887,0.000121349,0.000456132,1.13737e-5,9.70128e-11,3.8147e-6,1.10226e-7,1.10789e-7
33554432,2097152,0.000114895,7.06554e-5,0.000484809,6.07768e-6,9.70128e-11,1.90735e-6,1.53765e-7,1.55977e-7
33554432,4194304,0.000113144,4.36008e-5,0.000477405,3.07606e-6,5.82077e-11,9.53674e-7,1.46392e-7,1.86284e-7
33554432,8388608,7.23441e-5,2.45676e-5,0.000305331,1.43984e-6,9.70128e-11,4.76837e-7,1.24215e-7,1.442e-7
67108864,1048576,0.000161054,0.000125597,0.000675053,9.00657e-6,1.16415e-10,3.8147e-6,2.33219e-8,2.44084e-8
67108864,2097152,5.58447e-5,6.09783e-5,0.000237438,5.69954e-6,7.76102e-11,1.90735e-6,5.47152e-8,5.52973e-8
67108864,4194304,8.02844e-5,3.80822e-5,0.000337173,2.71991e-6,1.16415e-10,9.53674e-7,8.32564e-8,8.43623e-8
67108864,8388608,7.47872e-5,2.37871e-5,0.000316762,1.53389e-6,0,4.76837e-7,7.54371e-8,8.38578e-8
67108864,16777216,4.70899e-5,1.3216e-5,0.000199817,1.35154e-6,1.16415e-10,2.38419e-7,6.48239e-8,7.49133e-8
134217728,2097152,9.12504e-5,6.41672e-5,0.000383252,4.22429e-6,1.35818e-10,1.90735e-6,8.94458e-9,9.99232e-9
134217728,4194304,0.000112621,4.03001e-5,0.000477849,3.65012e-6,5.82077e-11,9.53674e-7,3.51574e-8,3.59529e-8
134217728,8388608,6.13521e-5,2.16639e-5,0.000261134,1.31384e-6,5.82077e-11,4.76837e-7,4.2899e-8,4.39856e-8
134217728,16777216,7.01167e-5,1.57644e-5,0.000296062,7.68031e-7,1.16415e-10,2.38419e-7,3.75633e-8,4.35199e-8
134217728,33554432,2.90617e-5,7.24375e-6,0.000122263,6.78216e-7,9.70128e-11,1.19209e-7,3.26739e-8,3.81842e-8
268435456,4194304,8.5002e-5,3.68984e-5,0.000359537,2.05941e-6,1.94026e-10,9.53674e-7,5.85957e-9,6.88791e-9
268435456,8388608,1.9053e-5,1.58137e-5,7.92335e-5,1.37849e-6,1.16415e-10,4.76837e-7,1.23788e-8,1.28833e-8
268435456,16777216,5.2719e-5,1.33512e-5,0.000220912,6.5115e-7,9.70128e-11,2.38419e-7,2.07025e-8,2.17309e-8
268435456,33554432,4.24451e-5,8.75845e-6,0.000179886,3.88342e-7,1.16415e-10,1.19209e-7,1.91503e-8,2.18861e-8
268435456,67108864,6.12125e-5,9.06384e-6,0.000257408,3.54814e-7,1.16415e-10,5.96046e-8,1.60459e-8,1.87817e-8
