Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
33554432,1048576,0.357645,0.507623,1.641,0.134678,0.0717772,4.05298e-6,3.8099e-6,4.47743e-5
33554432,2097152,0.35588,0.504187,1.63313,0.135207,0.0843681,2.14567e-6,1.90603e-6,2.31241e-5
33554432,4194304,0.35499,0.502963,1.62937,0.135204,0.0888268,1.1919e-6,9.52471e-7,1.31351e-5
33554432,8388608,0.354909,0.502317,1.62895,0.135179,0.090998,7.14674e-7,4.74819e-7,7.58444e-6
67108864,1048576,0.380679,0.508163,1.74669,0.133906,0.078806,3.93371e-6,3.8002e-6,4.63576e-5
67108864,2097152,0.389191,0.504723,1.78622,0.133895,0.095024,2.02636e-6,1.90077e-6,2.45175e-5
67108864,4194304,0.391028,0.503484,1.79453,0.133811,0.100917,1.07273e-6,9.51268e-7,1.40544e-5
67108864,8388608,0.390103,0.502772,1.7904,0.133798,0.103271,5.95911e-7,4.76158e-7,8.06803e-6
67108864,16777216,0.389336,0.502505,1.78668,0.133789,0.103889,3.5757e-7,2.38322e-7,4.76663e-6
134217728,2097152,0.399427,0.504877,1.83171,0.133527,0.0982324,1.96674e-6,1.89388e-6,2.4777e-5
134217728,4194304,0.403586,0.503597,1.85104,0.133338,0.105312,1.01308e-6,9.47504e-7,1.41509e-5
134217728,8388608,0.406162,0.503033,1.86268,0.133235,0.108324,5.36267e-7,4.74179e-7,8.29085e-6
134217728,16777216,0.40468,0.502673,1.85617,0.133238,0.109173,2.97868e-7,2.37623e-7,4.7922e-6
134217728,33554432,0.404377,0.502457,1.85479,0.133186,0.109732,1.78736e-7,1.19073e-7,2.74298e-6
268435456,4194304,0.405848,0.503546,1.8588,0.133143,0.106372,9.83283e-7,9.39937e-7,1.39598e-5
268435456,8388608,0.408028,0.502903,1.86904,0.133039,0.109864,5.06426e-7,4.7057e-7,8.15123e-6
268435456,16777216,0.408059,0.502631,1.86907,0.133003,0.111009,2.68046e-7,2.35819e-7,4.78675e-6
268435456,33554432,0.409215,0.502462,1.8744,0.132933,0.11172,1.48856e-7,1.18297e-7,2.7488e-6
268435456,67108864,0.409645,0.502351,1.87637,0.132931,0.112088,8.93488e-8,5.94494e-8,1.54376e-6
