CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
6,1,0.195586,0.255238,0.76162,0.0628023,7.5961e-8,6.10352e-5,1.96479e-5,3.89955e-5
6,2,0.185005,0.253729,0.730092,0.0628388,1.62593e-7,6.10352e-5,8.51535e-6,1.26515e-5
6,3,0.212369,0.256137,0.807189,0.0628336,4.75557e-8,6.10352e-5,2.49817e-5,5.49451e-5
6,4,0.188998,0.253823,0.732114,0.0627962,1.64456e-7,6.10352e-5,9.25609e-6,1.42358e-5
6,5,0.191875,0.254381,0.74552,0.0628877,8.94322e-7,6.10352e-5,1.41299e-5,2.4249e-5
6,7,0.184583,0.25375,0.728573,0.062806,1.57937e-8,6.10352e-5,8.97403e-6,1.3059e-5
6,8,0.185616,0.253791,0.732615,0.0628088,1.34848e-8,6.10352e-5,9.42533e-6,1.37816e-5
6,9,0.186911,0.253568,0.730408,0.0628011,8.35067e-7,6.10352e-5,6.52727e-6,9.61307e-6
7,0,0.190403,0.253583,0.744771,0.0627742,1.2633e-7,6.10352e-5,5.58159e-6,9.67437e-6
7,1,0.186263,0.253459,0.735111,0.0627596,2.26428e-8,6.10352e-5,5.31708e-6,7.59738e-6
7,2,0.185139,0.253781,0.728957,0.0628195,9.97679e-8,6.10352e-5,9.24497e-6,1.36547e-5
7,3,0.194036,0.254647,0.745133,0.0628468,2.91601e-7,6.10352e-5,1.70298e-5,2.90743e-5
7,4,0.187103,0.253168,0.738214,0.0626874,1.8867e-7,6.10352e-5,1.47944e-6,2.13228e-6
7,5,0.187051,0.253782,0.732238,0.0628271,7.6384e-7,6.10352e-5,8.68759e-6,1.35329e-5
7,6,0.185229,0.253922,0.733527,0.0628196,2.95889e-8,6.10352e-5,1.11324e-5,1.63614e-5
7,8,0.192346,0.254754,0.751102,0.0628431,6.75985e-8,6.10352e-5,1.72474e-5,3.0835e-5
7,9,0.185606,0.253621,0.732571,0.0627495,1.9713e-8,6.10352e-5,7.30394e-6,1.05684e-5
8,0,0.182814,0.253519,0.723959,0.062758,1.6531e-8,6.10352e-5,6.1235e-6,8.76732e-6
8,1,0.183144,0.253773,0.725046,0.0627955,2.21247e-7,6.10352e-5,9.38536e-6,1.359e-5
8,2,0.184161,0.253455,0.724679,0.0627696,1.80036e-7,6.10352e-5,4.66917e-6,7.42937e-6
8,3,0.184412,0.253893,0.73004,0.0628189,5.29476e-7,6.10352e-5,1.07951e-5,1.58228e-5
8,4,0.18666,0.253968,0.736681,0.0627515,6.0633e-8,6.10352e-5,9.41061e-6,1.65546e-5
8,5,0.183558,0.253175,0.72529,0.0627279,2.47189e-8,6.10352e-5,1.55397e-6,2.2252e-6
8,6,0.195783,0.255414,0.765099,0.0628562,2.01437e-7,6.10352e-5,2.04285e-5,4.19211e-5
