Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
7,12582912,0.926878,0.250003,3.41308,0.0595963,0.0515632
7,13631488,0.938669,0.250003,3.45632,0.0595559,0.0521715
7,14680064,0.946101,0.250003,3.4851,0.0595391,0.0527783
7,15728640,0.95514,0.250003,3.51741,0.0595547,0.0533466
7,16777216,0.962313,0.250003,3.54378,0.0595294,0.0536978
7,33554432,1.00915,0.250001,3.72068,0.0594508,0.0568477
7,67108864,1.02808,0.250001,3.78879,0.059419,0.0581662
7,134217728,1.03396,0.250001,3.81095,0.0594148,0.0584841
7,268435456,1.02992,0.25,3.79622,0.0594176,0.0584951
8,8192,0.0198158,0.254883,0.0726984,1.56433e-9,4.36557e-11
8,16384,0.0184361,0.252441,0.0676345,3.45608e-9,1.16415e-10
8,32768,0.0177476,0.251221,0.0651068,4.50382e-9,1.09139e-10
8,65536,0.0539155,0.25061,0.197795,8.64384e-9,1.52795e-10
8,131072,0.0539473,0.250305,0.197898,1.75351e-8,7.42148e-10
8,262144,0.0543311,0.250153,0.199314,3.6307e-8,8.00355e-10
8,524288,0.0545606,0.250076,0.200178,2.00947e-7,3.71074e-10
8,1048576,0.0980334,0.250038,0.358725,0.0226666,8.59436e-8
8,2097152,0.224003,0.250019,0.819377,0.0619053,0.00295859
8,3145728,0.604682,0.250013,2.21063,0.0613128,0.0441487
8,4194304,0.842531,0.25001,3.07734,0.0602476,0.0529461
8,5242880,0.944049,0.250008,3.44088,0.060695,0.0550613
8,6291456,0.970449,0.250007,3.53839,0.0609727,0.0481592
8,7340032,0.970674,0.250006,3.53321,0.0607349,0.047023
8,8388608,1.00808,0.250005,3.67259,0.060685,0.0489842
8,9437184,1.03508,0.250005,3.77179,0.0606761,0.0503496
8,10485760,1.05229,0.250004,3.83226,0.0606955,0.0514896
8,11534336,1.0695,0.250004,3.90749,0.0606871,0.0523821
8,12582912,1.08147,0.250003,3.95196,0.0607058,0.053182
8,13631488,1.09562,0.250003,3.99165,0.0606863,0.0537129
8,14680064,1.10485,0.250003,4.0296,0.0607074,0.0543833
8,15728640,1.11296,0.250003,4.05681,0.0607274,0.0549243
8,16777216,1.1215,0.250003,4.08842,0.0607236,0.0553149
8,33554432,1.17448,0.250001,4.28211,0.060724,0.0583038
8,67108864,1.19582,0.250001,4.36206,0.0607289,0.0596325
8,134217728,1.20159,0.250001,4.3826,0.0607268,0.0599251
8,268435456,1.19742,0.25,4.36747,0.0607118,0.0599184
9,8192,0.0202969,0.254883,0.0730392,1.38243e-9,4.36557e-11
9,16384,0.018778,0.252441,0.0675737,2.56114e-9,3.63798e-11
9,32768,0.0180881,0.251221,0.0650877,7.87986e-9,4.00178e-10
9,65536,0.0551369,0.25061,0.19841,9.40054e-9,1.52795e-10
9,131072,0.0549787,0.250305,0.197835,2.34868e-8,1.29512e-9
9,262144,0.0553044,0.250153,0.19901,3.66272e-8,4.22006e-10
9,524288,0.0554783,0.250076,0.199631,2.2896e-7,1.74623e-9
9,1048576,0.108137,0.250038,0.389075,0.0253469,1.63855e-8
9,2097152,0.250712,0.250019,0.901067,0.0615388,0.00444599
9,3145728,0.713666,0.250013,2.56184,0.061114,0.0430477
9,4194304,0.887191,0.25001,3.18261,0.0617827,0.0387969
9,5242880,1.00478,0.250008,3.60373,0.0618301,0.044127
9,6291456,1.07452,0.250007,3.85284,0.0617747,0.0470501
9,7340032,1.12567,0.250006,4.03541,0.0614538,0.0490852
9,8388608,1.15856,0.250005,4.1543,0.0615038,0.0508987
9,9437184,1.18419,0.250005,4.24701,0.0615395,0.0523095
9,10485760,1.20696,0.250004,4.32862,0.0615484,0.0533457
