CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
6,1,0.184742,0.254513,0.730983,0.0627771,3.54698e-7,6.48487e-5,8.75808e-6,1.24405e-5
6,2,0.185504,0.254544,0.730425,0.0627496,2.70743e-7,6.48486e-5,8.74229e-6,1.28647e-5
6,3,0.184113,0.253905,0.72585,0.0626373,2.03688e-7,6.48506e-5,1.50866e-6,2.1895e-6
6,4,0.183983,0.254153,0.725901,0.0626423,2.5656e-7,6.48499e-5,4.40355e-6,6.22636e-6
6,5,0.184846,0.254232,0.728431,0.0627205,2.12148e-7,6.48484e-5,5.30361e-6,7.56723e-6
6,7,0.184346,0.254569,0.727638,0.0626685,3.39157e-8,6.48484e-5,9.24332e-6,1.33073e-5
6,8,0.186235,0.254574,0.735078,0.062845,3.78932e-8,6.48468e-5,9.02574e-6,1.33223e-5
6,9,0.185329,0.254316,0.731508,0.0626554,2.77068e-8,6.48493e-5,6.48955e-6,9.03883e-6
7,0,0.186194,0.253917,0.734858,0.0626265,5.61898e-8,6.48508e-5,1.64798e-6,2.36923e-6
7,1,0.187146,0.254239,0.737706,0.0626721,1.34324e-7,6.48495e-5,5.05997e-6,7.67536e-6
7,2,0.184415,0.254494,0.72769,0.0627355,1.93327e-7,6.48474e-5,8.25557e-6,1.19317e-5
7,3,0.190733,0.255195,0.740297,0.0627602,1.25633e-6,6.48493e-5,1.5939e-5,2.37602e-5
7,4,0.187882,0.253916,0.741603,0.0627465,2.65815e-8,6.48509e-5,1.63298e-6,2.36453e-6
7,5,0.187491,0.254571,0.731722,0.0626373,8.53712e-8,6.48491e-5,9.13422e-6,1.32149e-5
7,6,0.183761,0.254479,0.727697,0.0626714,2.49323e-7,6.48488e-5,8.3146e-6,1.17641e-5
7,8,0.184265,0.254556,0.727341,0.0626641,1.40863e-8,6.48492e-5,9.16536e-6,1.31397e-5
7,9,0.185992,0.25429,0.73403,0.0628129,8.91101e-7,6.48488e-5,5.90041e-6,8.55938e-6
8,0,0.195178,0.255947,0.764751,0.0629056,7.45058e-8,6.485e-5,1.43342e-5,3.45628e-5
8,1,0.183598,0.254541,0.726986,0.0627856,1.21421e-7,6.48496e-5,8.83354e-6,1.29041e-5
8,2,0.182781,0.254104,0.723749,0.0627035,2.16959e-7,6.48504e-5,3.85647e-6,5.49575e-6
8,3,0.195016,0.255687,0.750328,0.0629603,2.35043e-7,6.48494e-5,1.73248e-5,3.12567e-5
8,4,0.183258,0.254286,0.723403,0.0626006,3.96394e-8,6.48503e-5,5.84618e-6,8.44273e-6
8,5,0.188593,0.254524,0.738008,0.0627133,1.23109e-7,6.48507e-5,8.43305e-6,1.26934e-5
8,6,0.19432,0.255951,0.754771,0.0627234,3.03223e-7,6.48492e-5,1.69951e-5,3.51757e-5
8,7,0.182507,0.254316,0.721828,0.0627877,4.17601e-7,6.48501e-5,6.31712e-6,9.1245e-6
8,9,0.189761,0.254482,0.739973,0.0626487,9.66829e-8,6.48506e-5,7.75761e-6,1.19401e-5
9,0,0.193125,0.25394,0.762269,0.0625889,1.234e-8,6.48502e-5,2.07927e-6,2.60603e-6
9,1,0.190515,0.254134,0.751943,0.0626377,1.16415e-8,6.48501e-5,4.39703e-6,5.94857e-6
9,2,0.200984,0.254458,0.783398,0.0626603,4.55572e-8,6.48508e-5,5.37862e-6,1.10024e-5
9,3,0.191234,0.254275,0.750682,0.0628253,9.418e-8,6.48502e-5,5.54024e-6,8.21368e-6
9,4,0.194009,0.253994,0.765139,0.062748,6.68224e-8,6.48509e-5,1.92832e-6,3.40439e-6
9,5,0.199454,0.254123,0.787072,0.0626589,1.47653e-8,6.48501e-5,4.19215e-6,5.35765e-6
9,6,0.194539,0.254595,0.75514,0.0626356,1.50758e-7,6.48505e-5,9.23818e-6,1.37825e-5
9,7,0.190514,0.253973,0.751915,0.0626574,1.21382e-7,6.48504e-5,2.38554e-6,3.25177e-6
9,8,0.197941,0.25407,0.781269,0.0628243,1.26117e-8,6.48501e-5,3.46157e-6,4.53021e-6
