CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
6,1,0.185017,0.254113,0.732242,0.0626678,1.0846e-8,6.52389e-5,9.0165e-6,9.01846e-6
6,2,0.185782,0.254065,0.731605,0.0628358,1.01475e-8,6.51694e-5,8.29416e-6,8.29554e-6
6,3,0.184388,0.254044,0.726991,0.0626686,4.56175e-6,6.5173e-5,8.04453e-6,8.04539e-6
6,4,0.184257,0.254085,0.72706,0.0625977,3.00158e-8,6.522e-5,8.56533e-6,8.56708e-6
6,5,0.18512,0.254148,0.72964,0.0626933,1.10012e-8,6.52943e-5,9.58587e-6,9.58715e-6
6,7,0.18462,0.254105,0.7288,0.0627448,6.92671e-8,6.52378e-5,8.88742e-6,8.88874e-6
6,8,0.186508,0.254125,0.736259,0.0627844,5.3163e-9,6.52537e-5,9.18936e-6,9.1906e-6
6,9,0.185606,0.254117,0.732695,0.062614,8.01325e-9,6.52525e-5,9.08963e-6,9.09171e-6
7,0,0.186478,0.254044,0.736074,0.0625662,1.31743e-8,6.51849e-5,8.01562e-6,8.01727e-6
7,1,0.187419,0.254096,0.73888,0.0626541,8.03266e-9,6.52489e-5,8.80007e-6,8.80181e-6
7,2,0.184687,0.254088,0.728842,0.0627597,1.21072e-8,6.5217e-5,8.62444e-6,8.6255e-6
7,3,0.191007,0.25395,0.741414,0.06279,2.18091e-6,6.5045e-5,6.40484e-6,6.40655e-6
7,4,0.188157,0.253978,0.742781,0.0627478,1.20102e-8,6.50845e-5,7.01864e-6,7.01949e-6
7,5,0.187766,0.254034,0.732926,0.0626807,9.02219e-9,6.51422e-5,7.7922e-6,7.79352e-6
7,6,0.184052,0.254063,0.728939,0.0627758,2.42338e-8,6.51685e-5,8.22106e-6,8.22286e-6
7,8,0.184539,0.254027,0.728515,0.0626258,4.65661e-9,6.51211e-5,7.73613e-6,7.73737e-6
7,9,0.186267,0.254099,0.735239,0.0627809,1.12836e-6,6.52384e-5,8.82449e-6,8.82721e-6
8,0,0.195454,0.253948,0.765982,0.0628029,1.0846e-8,6.50456e-5,6.48575e-6,6.48709e-6
8,1,0.183873,0.253973,0.728145,0.0626903,4.75363e-9,6.50943e-5,6.87046e-6,6.8724e-6
8,2,0.183055,0.254034,0.72488,0.0626492,1.44782e-7,6.51632e-5,7.85809e-6,7.85937e-6
8,3,0.19529,0.253912,0.751424,0.0629183,2.16727e-8,6.49923e-5,5.82476e-6,5.82628e-6
8,4,0.183531,0.25394,0.724548,0.0625442,4.88168e-8,6.50197e-5,6.31489e-6,6.31666e-6
8,5,0.188864,0.253929,0.739153,0.0626524,9.5965e-8,6.50106e-5,6.22956e-6,6.23072e-6
8,6,0.194594,0.253984,0.755891,0.0626849,7.79983e-9,6.50836e-5,7.0278e-6,7.02908e-6
8,7,0.18278,0.253996,0.722943,0.0627788,1.06016e-7,6.51222e-5,7.25514e-6,7.25628e-6
8,9,0.190036,0.253948,0.741104,0.0625893,8.55653e-9,6.50419e-5,6.51406e-6,6.51555e-6
9,0,0.193398,0.253932,0.763507,0.0625024,5.82077e-9,6.50126e-5,6.26976e-6,6.27106e-6
9,1,0.19079,0.254086,0.753165,0.0625518,3.27903e-9,6.52036e-5,8.62934e-6,8.63121e-6
9,2,0.201256,0.253991,0.7846,0.0625933,1.21499e-7,6.50922e-5,7.17155e-6,7.17281e-6
9,3,0.191506,0.253954,0.751755,0.0627571,1.11953e-8,6.50386e-5,6.53375e-6,6.53542e-6
9,4,0.194284,0.253936,0.766293,0.0626981,1.72101e-8,6.50107e-5,6.2777e-6,6.27956e-6
9,5,0.199728,0.253859,0.788264,0.0625565,8.88637e-8,6.49102e-5,5.08205e-6,5.08331e-6
9,6,0.194812,0.253924,0.756277,0.0625514,2.68725e-8,6.5007e-5,6.13524e-6,6.1365e-6
9,7,0.190786,0.253936,0.753006,0.0627046,1.79474e-8,6.50124e-5,6.35742e-6,6.35864e-6
9,8,0.198216,0.253869,0.782453,0.0627343,2.33025e-8,6.49211e-5,5.24827e-6,5.24961e-6
