Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
262144,32768,4,12,0,1.26999,4.74,5.01359,0.0648469,8.20928e-9,0.00012207,0.000122067,0.00109401
262144,32768,6,2,0,0.645642,6.63128,2.54852,0.0645196,6.98535e-9,0.00012207,4.36584e-10,8.38241e-9
262144,32768,8,8,0,0.854563,8.63136,3.37263,0.0646583,1.46683e-8,0.00012207,4.59724e-7,4.71133e-7
262144,32768,12,4,0,1.27195,12.6314,5.01952,0.0645971,2.44532e-8,0.00012207,3.49331e-10,1.24013e-8
524288,16384,1,3,0,0.338484,1.66799,1.33596,0.064872,3.84194e-9,0.000244141,0.000243588,0.000543523
524288,16384,2,2,0,0.25926,2.64098,1.0206,0.0651483,6.1118e-9,0.000244141,6.75843e-5,6.76454e-5
524288,16384,2,6,0,0.64539,2.69805,2.54764,0.0660174,2.09599e-9,0.000244141,0.00024388,0.000967863
524288,16384,3,1,0,0.333599,3.63729,1.31667,0.064051,5.32633e-9,0.000244141,1.74634e-10,3.53633e-9
524288,16384,4,4,0,0.439929,4.63732,1.73654,0.0649947,3.25963e-9,0.000244141,1.16415e-10,4.13274e-9
524288,16384,4,12,0,1.29401,4.7517,5.0349,0.0666318,6.46263e-9,0.000244141,0.000243722,0.00151156
524288,16384,6,2,0,0.650036,6.63738,2.56581,0.0659405,5.76397e-9,0.000244141,1.74666e-10,6.20063e-9
524288,16384,8,8,0,0.859239,8.63745,3.39162,0.0647176,3.09665e-8,0.000244141,3.00817e-7,3.10596e-7
524288,16384,12,4,0,1.27854,12.6375,5.04673,0.066178,3.49331e-8,0.000244141,6.98663e-10,1.29253e-8
524288,32768,1,3,0,0.338651,1.65976,1.33635,0.0643482,6.94169e-9,0.00012207,0.000121899,0.000460939
524288,32768,2,2,0,0.252878,2.63488,0.998112,0.0638985,1.74623e-9,0.00012207,6.68647e-5,6.73147e-5
524288,32768,2,6,0,0.639829,2.68779,2.52507,0.0642858,1.58946e-8,0.00012207,0.000121919,0.000750876
524288,32768,3,1,0,0.331496,3.63119,1.30785,0.0641318,2.18729e-8,0.00012207,2.18292e-10,4.01657e-9
524288,32768,4,4,0,0.435263,4.63122,1.71791,0.0643356,2.96859e-9,0.00012207,1.39698e-9,7.45058e-9
524288,32768,4,12,0,1.27093,4.73987,5.01673,0.0646335,5.76397e-9,0.00012207,0.000122039,0.00109309
524288,32768,6,2,0,0.643254,6.63132,2.53922,0.0646209,5.0653e-9,0.00012207,1.74666e-10,6.02596e-9
524288,32768,8,8,0,0.85557,8.63133,3.37689,0.0643637,6.40284e-9,0.00012207,6.75209e-9,1.58325e-8
524288,32768,12,4,0,1.27402,12.6314,5.02723,0.0647133,8.85555e-8,0.00012207,1.74666e-10,7.68529e-9
524288,65536,1,3,0,0.333977,1.65346,1.31835,0.063498,2.13926e-9,6.10352e-5,6.09867e-5,0.000349624
524288,65536,1,3,32768,0.333233,1.80362,1.31549,0.0637168,4.75877e-9,6.10352e-5,6.09627e-5,0.000199193
524288,65536,2,2,0,0.249973,2.63184,0.986297,0.0636257,6.60657e-9,6.10352e-5,5.68579e-5,6.77135e-5
524288,65536,2,2,32768,0.25468,2.67696,0.999666,0.0634292,4.48199e-9,6.10352e-5,3.7835e-10,5.18048e-9
524288,65536,2,6,0,0.638202,2.68186,2.5182,0.0637201,1.77286e-8,6.10352e-5,6.10042e-5,0.00054356
524288,65536,2,6,32768,0.639062,2.83632,2.52196,0.0639225,1.36239e-8,6.10352e-5,6.09834e-5,0.000483886
524288,65536,3,1,0,0.335818,3.62814,1.29894,0.0634296,2.92075e-8,6.10352e-5,2.18292e-10,3.84194e-9
524288,65536,3,1,32768,0.328517,3.62893,1.29431,0.0635311,7.7712e-9,6.10352e-5,1.74634e-10,3.05609e-9
524288,65536,4,4,0,0.440057,4.62817,1.71343,0.0635051,6.63567e-9,6.10352e-5,2.79397e-9,7.6252e-9
524288,65536,4,4,32768,0.433135,4.62896,1.70963,0.0634775,1.64146e-8,6.10352e-5,2.91038e-10,5.47152e-9
524288,65536,4,12,0,1.26599,4.73054,4.99548,0.0636974,3.10905e-8,6.10352e-5,6.10315e-5,0.00072538
524288,65536,4,12,32768,1.26484,4.887,4.99217,0.0631878,1.97372e-8,6.10352e-5,6.10304e-5,0.000695873
524288,65536,6,2,0,0.642538,6.62822,2.53589,0.0634927,6.54996e-9,6.10352e-5,1.74666e-10,5.93863e-9
524288,65536,6,2,32768,0.642256,6.62902,2.53511,0.0634937,2.47344e-6,6.10352e-5,1.74666e-10,6.20063e-9
524288,65536,8,8,0,0.852591,8.62829,3.36428,0.0635501,3.1665e-8,6.10352e-5,8.17236e-8,9.1386e-8
524288,65536,8,8,32768,0.853312,8.62912,3.36816,0.0635757,1.33878e-8,6.10352e-5,3.49246e-10,9.77889e-9
524288,65536,12,4,0,1.28292,12.6284,5.01965,0.0636407,5.0653e-8,6.10352e-5,3.49331e-10,1.18773e-8
524288,65536,12,4,32768,1.26916,12.6292,5.00778,0.06364,4.94304e-8,6.10352e-5,3.49331e-10,1.06546e-8
1048576,32768,1,3,0,0.336694,1.65203,1.32885,0.0644168,7.23989e-8,0.00012207,0.000121558,0.000353747
1048576,32768,2,2,0,0.258972,2.63546,1.02157,0.0645749,1.13386e-5,0.00012207,7.43874e-5,7.8176e-5
1048576,32768,2,6,0,0.641918,2.68838,2.53368,0.0649961,2.83902e-6,0.00012207,0.000121958,0.000756194
1048576,32768,3,1,0,0.338637,3.63119,1.30761,0.0642603,2.43222e-7,0.00012207,8.73328e-11,2.96932e-9
1048576,32768,4,4,0,0.436832,4.63122,1.72405,0.0644637,1.17056e-7,0.00012207,3.49246e-10,4.94765e-9
1048576,32768,4,12,0,1.26816,4.73977,5.00504,0.0648736,5.73323e-8,0.00012207,0.000122049,0.00109272
1048576,32768,6,2,0,0.644927,6.63127,2.5356,0.0643501,2.34925e-8,0.00012207,8.73328e-11,3.84264e-9
1048576,32768,8,8,0,0.854944,8.63133,3.3742,0.064573,4.49817e-6,0.00012207,1.28057e-9,9.0804e-9
1048576,32768,12,4,0,1.27195,12.6314,5.02067,0.064495,1.81488e-6,0.00012207,1.74794e-10,7.69092e-9
1048576,65536,1,3,0,0.332363,1.64849,1.31184,0.0636444,2.17022e-8,6.10352e-5,6.08981e-5,0.000298887
1048576,65536,1,3,32768,0.333933,1.79824,1.31807,0.0637568,9.34461e-9,6.10352e-5,5.74787e-5,0.000134015
1048576,65536,2,2,0,0.254325,2.63249,1.00371,0.0633362,1.39116e-8,6.10352e-5,5.5682e-5,7.91725e-5
1048576,65536,2,2,32768,0.258782,2.66018,1.0156,0.0634778,9.68575e-7,6.10352e-5,5.99539e-9,4.84579e-8
1048576,65536,2,6,0,0.6378,2.68182,2.51751,0.0637738,8.98078e-6,6.10352e-5,6.10159e-5,0.000543451
1048576,65536,2,6,32768,0.637315,2.83362,2.51489,0.0638702,7.91061e-7,6.10352e-5,6.09332e-5,0.000466577
1048576,65536,3,1,0,0.329661,3.62814,1.30112,0.0635754,1.49959e-6,6.10352e-5,1.30999e-10,2.70732e-9
1048576,65536,3,1,32768,0.328636,3.62893,1.29662,0.0635506,6.97789e-8,6.10352e-5,8.73328e-11,2.92565e-9
1048576,65536,4,4,0,0.432897,4.62817,1.70787,0.0635056,2.94461e-6,6.10352e-5,1.39698e-9,5.41331e-9
1048576,65536,4,4,32768,0.439106,4.62896,1.70609,0.0633664,1.10595e-8,6.10352e-5,1.16415e-10,3.55067e-9
1048576,65536,4,12,0,1.26817,4.73059,5.00348,0.0637394,1.46706e-5,6.10352e-5,6.10289e-5,0.000725287
1048576,65536,4,12,32768,1.26565,4.8853,4.99543,0.0637716,3.58327e-8,6.10352e-5,6.10285e-5,0.000690762
1048576,65536,6,2,0,0.642005,6.62822,2.53368,0.0635519,2.55012e-8,6.10352e-5,8.73328e-11,3.84264e-9
1048576,65536,6,2,32768,0.643245,6.62902,2.53805,0.0635264,4.48891e-8,6.10352e-5,1.74666e-10,6.28796e-9
1048576,65536,8,8,0,0.848297,8.6283,3.34753,0.0633631,2.41445e-7,6.10352e-5,4.1537e-7,4.21773e-7
1048576,65536,8,8,32768,0.852078,8.62907,3.36198,0.0635705,1.55531e-7,6.10352e-5,1.16415e-10,5.12227e-9
1048576,65536,12,4,0,1.27785,12.6284,4.99556,0.0637607,2.31252e-7,6.10352e-5,1.74794e-10,7.69092e-9
1048576,65536,12,4,32768,1.26924,12.6292,5.00634,0.0635161,2.57978e-6,6.10352e-5,3.49587e-10,1.24104e-8
1048576,131072,1,3,0,0.331435,1.64497,1.30805,0.0629344,4.8033e-9,3.05176e-5,3.04732e-5,0.000219564
1048576,131072,1,3,32768,0.330817,1.72094,1.30569,0.062997,2.42785e-8,3.05176e-5,3.04584e-5,0.000169535
1048576,131072,2,2,0,0.252314,2.6307,0.995804,0.0631133,1.00455e-6,3.05176e-5,2.99469e-5,7.18602e-5
1048576,131072,2,2,32768,0.259928,2.65633,1.01311,0.062958,1.95665e-7,3.05176e-5,6.40284e-10,4.91855e-9
1048576,131072,2,6,0,0.66144,2.67713,2.50861,0.0630829,5.30984e-8,3.05176e-5,3.05161e-5,0.000360743
1048576,131072,2,6,32768,0.635885,2.75446,2.50982,0.062911,5.55437e-8,3.05176e-5,3.05152e-5,0.000343202
1048576,131072,3,1,0,0.327572,3.62661,1.29228,0.0629827,4.37537e-8,3.05176e-5,8.73328e-11,3.01298e-9
1048576,131072,3,1,32768,0.327669,3.62701,1.29283,0.0629779,9.67255e-7,3.05176e-5,8.73328e-11,2.88198e-9
1048576,131072,4,4,0,0.434107,4.62664,1.70387,0.0629937,1.76078e-7,3.05176e-5,1.16415e-10,4.01633e-9
1048576,131072,4,4,32768,0.431262,4.62704,1.70124,0.063032,6.12345e-8,3.05176e-5,1.16415e-10,3.95812e-9
1048576,131072,4,12,0,1.2635,4.72477,4.98704,0.0631049,2.2898e-8,3.05176e-5,3.05146e-5,0.000456235
1048576,131072,4,12,32768,1.27242,4.80304,4.98606,0.0631218,3.56579e-8,3.05176e-5,3.0515e-5,0.00044788
1048576,131072,6,2,0,0.658715,6.62669,2.52812,0.0630788,6.80323e-8,3.05176e-5,8.73328e-11,3.84264e-9
1048576,131072,6,2,32768,0.639783,6.62709,2.52422,0.0629186,6.66349e-8,3.05176e-5,1.74666e-10,5.67663e-9
1048576,131072,8,8,0,0.850657,8.62675,3.35725,0.0630295,1.82772e-8,3.05176e-5,1.28057e-9,9.54606e-9
1048576,131072,8,8,32768,0.850896,8.62715,3.35804,0.0630209,1.70432e-7,3.05176e-5,2.32831e-10,6.98492e-9
1048576,131072,12,4,0,1.2679,12.6269,5.00359,0.0630738,8.2153e-8,3.05176e-5,1.74794e-10,7.69092e-9
1048576,131072,12,4,32768,1.27066,12.6273,5.01485,0.0630785,2.34224e-8,3.05176e-5,1.74794e-10,7.69092e-9
2097152,65536,1,3,0,0.331942,1.64464,1.30989,0.0635469,7.02898e-7,6.10352e-5,6.07561e-5,0.000254881
2097152,65536,1,3,32768,0.330902,1.79055,1.30518,0.0635801,6.2398e-6,6.10352e-5,3.16467e-5,4.47932e-5
2097152,65536,2,2,0,0.238415,2.62834,0.931166,0.0628748,1.53898e-6,6.10352e-5,3.59863e-6,4.14214e-6
2097152,65536,2,2,32768,0.230942,2.63265,0.911283,0.0634513,9.27772e-7,6.10352e-5,1.74623e-10,3.17232e-9
2097152,65536,2,6,0,0.643487,2.68239,2.53944,0.0637574,6.39133e-7,6.10352e-5,6.1029e-5,0.000546321
2097152,65536,2,6,32768,0.637437,2.83159,2.5156,0.0632253,2.21114e-8,6.10352e-5,6.10285e-5,0.00045316
2097152,65536,3,1,0,0.328745,3.62814,1.29737,0.0637024,3.32738e-8,6.10352e-5,4.36664e-11,1.92132e-9
2097152,65536,3,1,32768,0.329631,3.62893,1.30087,0.0635522,1.03315e-7,6.10352e-5,8.73328e-11,3.05665e-9
2097152,65536,4,4,0,0.431911,4.62817,1.70426,0.0635273,3.44007e-8,6.10352e-5,6.28643e-9,1.10012e-8
2097152,65536,4,4,32768,0.43422,4.62896,1.71348,0.0635751,1.0815e-7,6.10352e-5,5.82077e-11,2.56114e-9
2097152,65536,4,12,0,1.27064,4.73121,5.01474,0.0638065,4.97463e-7,6.10352e-5,6.10276e-5,0.000726844
2097152,65536,4,12,32768,1.26668,4.88328,4.99874,0.0640154,1.03128e-7,6.10352e-5,6.1024e-5,0.000684544
2097152,65536,6,2,0,0.641207,6.62822,2.5304,0.0631823,7.14032e-8,6.10352e-5,1.74794e-10,6.11778e-9
2097152,65536,6,2,32768,0.643048,6.62902,2.53741,0.0637246,3.25116e-7,6.10352e-5,1.74794e-10,5.76819e-9
2097152,65536,8,8,0,0.851366,8.62828,3.35892,0.0634549,3.0559e-7,6.10352e-5,1.16415e-10,5.12227e-9
2097152,65536,8,8,32768,0.851825,8.62907,3.36089,0.0635679,1.79978e-7,6.10352e-5,1.16415e-10,5.12227e-9
2097152,65536,12,4,0,1.2655,12.6283,4.99245,0.0636442,1.96293e-7,6.10352e-5,1.74794e-10,7.51613e-9
2097152,65536,12,4,32768,1.28949,12.6291,5.0123,0.0636929,2.98373e-7,6.10352e-5,1.74794e-10,7.51613e-9
2097152,131072,1,3,0,0.33426,1.64229,1.31893,0.0629602,3.40161e-8,3.05176e-5,3.05149e-5,0.00019976
2097152,131072,1,3,32768,0.32508,1.7164,1.28288,0.0630686,1.00869e-8,3.05176e-5,3.04274e-5,0.000122493
2097152,131072,2,2,0,0.249932,2.63046,0.98613,0.0630145,2.04018e-8,3.05176e-5,2.75959e-5,6.63276e-5
2097152,131072,2,2,32768,0.230153,2.62805,0.904844,0.0629231,1.67638e-7,3.05176e-5,4.94765e-10,2.73576e-9
2097152,131072,2,6,0,0.640868,2.67784,2.52911,0.063058,9.17667e-9,3.05176e-5,3.05146e-5,0.000362881
2097152,131072,2,6,32768,0.6574,2.75367,2.5366,0.063047,1.53644e-7,3.05176e-5,3.05148e-5,0.000340581
2097152,131072,3,1,0,0.327872,3.62661,1.29378,0.0630329,2.63308e-8,3.05176e-5,8.73328e-11,3.14398e-9
2097152,131072,3,1,32768,0.327617,3.62701,1.29278,0.0630136,3.98238e-8,3.05176e-5,8.73328e-11,3.05665e-9
2097152,131072,4,4,0,0.431754,4.62664,1.70362,0.0629778,1.74623e-8,3.05176e-5,5.82077e-11,2.56114e-9
2097152,131072,4,4,32768,0.432091,4.62704,1.70507,0.0629823,1.18162e-7,3.05176e-5,1.16415e-10,4.19095e-9
