CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
6,1,0.195863,0.252845,0.762891,0.0627093,1.55997e-8,6.10352e-5,9.70128e-11,1.45519e-9
6,2,0.185297,0.252846,0.731351,0.0627569,5.72375e-9,6.10352e-5,3.88051e-11,1.33878e-9
6,3,0.212655,0.252846,0.808385,0.0627188,1.37176e-8,6.10352e-5,3.88051e-11,1.35818e-9
6,4,0.189257,0.252845,0.733242,0.0627369,8.20728e-9,6.10352e-5,3.88051e-11,1.28057e-9
6,5,0.192126,0.252838,0.746553,0.0628111,2.53203e-7,6.10352e-5,3.88051e-11,1.26117e-9
6,7,0.184869,0.252846,0.729802,0.0627446,1.78503e-9,6.10352e-5,3.88051e-11,1.37758e-9
6,8,0.185875,0.252846,0.733733,0.0627463,5.43272e-10,6.10352e-5,3.88051e-11,1.33878e-9
6,9,0.187144,0.252838,0.731437,0.0627228,1.65232e-7,6.10352e-5,4.46259e-10,2.67755e-9
7,0,0.190704,0.252845,0.746061,0.0627062,5.07377e-8,6.10352e-5,3.88051e-11,1.22236e-9
7,1,0.186542,0.252845,0.736334,0.0627147,4.30737e-9,6.10352e-5,1.16415e-10,1.62981e-9
7,2,0.185433,0.252845,0.730212,0.0627455,1.10401e-8,6.10352e-5,3.88051e-11,9.1192e-10
7,3,0.194298,0.252845,0.746208,0.0627624,6.20882e-8,6.10352e-5,3.88051e-11,1.28057e-9
7,4,0.187346,0.252838,0.739273,0.062608,1.20684e-8,6.10352e-5,3.88051e-11,1.24176e-9
7,5,0.187296,0.252838,0.733327,0.0627635,1.26924e-6,6.10352e-5,3.88051e-11,1.16415e-9
7,6,0.185478,0.252838,0.734597,0.062737,3.22082e-9,6.10352e-5,3.88051e-11,1.16415e-9
7,8,0.192636,0.252845,0.752335,0.0627648,4.96705e-9,6.10352e-5,3.88051e-11,1.29997e-9
7,9,0.185875,0.252845,0.733768,0.0626709,1.78503e-9,6.10352e-5,9.70128e-11,1.76563e-9
8,0,0.183056,0.252838,0.725043,0.062684,1.84324e-8,6.10352e-5,3.88051e-11,1.20296e-9
8,1,0.183402,0.252838,0.726128,0.0627342,1.95578e-8,6.10352e-5,2.52233e-10,1.86265e-9
8,2,0.18446,0.252846,0.725924,0.0627101,6.05942e-8,6.10352e-5,3.88051e-11,1.33878e-9
8,3,0.184659,0.252838,0.731078,0.0627335,1.12302e-7,6.10352e-5,3.88051e-11,1.24176e-9
8,4,0.186946,0.252846,0.737891,0.0626645,2.05667e-9,6.10352e-5,3.88051e-11,1.37758e-9
8,5,0.183865,0.252845,0.726531,0.0626339,4.5596e-9,6.10352e-5,1.94026e-11,8.53712e-10
8,6,0.196028,0.252838,0.766063,0.0627581,7.12074e-9,6.10352e-5,3.88051e-11,1.28057e-9
