Size,Repeat,Alloc Size,Readable,Host Accessible,Host Writable,Host Pointer,Time (ns)
4096,32,4096,false,false,false,false,8.224014282226562
4096,32,4096,false,false,false,false,6.428245544433594
4096,32,4096,false,false,false,false,6.3072357177734375
4096,32,4096,false,false,false,false,6.3112945556640625
4096,32,4096,false,false,false,false,6.4836578369140625
4096,32,4096,false,false,false,false,6.517143249511719
4096,32,4096,false,false,false,false,10.355636596679688
4096,32,4096,false,false,false,false,6.29888916015625
4096,32,4096,false,false,false,false,7.611137390136719
4096,32,4096,false,false,false,false,6.410102844238281
4096,32,4096,false,false,false,false,6.364677429199219
4096,32,4096,false,false,false,false,6.471244812011719
4096,32,4096,false,false,false,false,6.406791687011719
4096,32,4096,false,false,false,false,6.698326110839844
4096,32,4096,false,false,false,false,6.330894470214844
4096,32,4096,false,false,false,false,6.4258880615234375
4096,32,4096,false,false,false,false,6.353889465332031
4096,32,4096,false,false,false,false,6.2438201904296875
4096,32,4096,false,false,false,false,6.4315185546875
4096,32,4096,false,false,false,false,6.437889099121094
4096,32,4096,false,false,false,false,6.365760803222656
4096,32,4096,false,false,false,false,7.8284912109375
4096,32,4096,false,false,false,false,7.066429138183594
4096,32,4096,false,false,false,false,6.4594268798828125
4096,32,4096,false,false,false,false,6.491294860839844
4096,32,4096,false,false,false,false,6.556037902832031
4096,32,4096,false,false,false,false,6.385902404785156
4096,32,4096,false,false,false,false,238.9307861328125
4096,32,4096,false,false,false,false,10.067535400390625
4096,32,4096,false,false,false,false,6.465354919433594
4096,32,4096,false,false,false,false,7.720794677734375
4096,32,4096,false,false,false,false,6.537109375
4096,32,4096,false,false,false,false,6.475395202636719
4096,32,4096,false,false,false,false,6.44500732421875
4096,32,4096,false,false,false,false,26.699752807617188
4096,32,4096,false,false,false,false,6.413261413574219
4096,32,4096,false,false,false,false,6.41754150390625
4096,32,4096,false,false,false,false,6.472434997558594
4096,32,4096,false,false,false,false,7.895622253417969
4096,32,4096,false,false,false,false,6.385658264160156
4096,32,4096,false,false,false,false,7.6910552978515625
4096,32,4096,false,false,false,false,10.048332214355469
4096,32,4096,false,false,false,false,6.452522277832031
4096,32,4096,false,false,false,false,6.5200347900390625
4096,32,4096,false,false,false,false,7.896263122558594
4096,32,4096,false,false,false,false,6.438331604003906
4096,32,4096,false,false,false,false,8.016700744628906
4096,32,4096,false,false,false,false,6.490501403808594
4096,32,4096,false,false,false,false,6.503150939941406
4096,32,4096,false,false,false,false,6.444580078125
4096,32,4096,false,false,false,false,6.406120300292969
4096,32,4096,false,false,false,false,6.9902191162109375
