Size,Repeat,Submit CB,Start CB,Complete CB,Time (ns)
1024,1024,0,0,0,2.941221237182617
1024,1024,0,0,0,2.9635496139526367
1024,1024,0,0,0,2.982381820678711
1024,1024,0,0,0,2.9868993759155273
1024,1024,0,0,0,2.9973936080932617
1024,1024,0,0,0,3.004638671875
1024,1024,0,0,0,3.010075569152832
1024,1024,0,0,0,3.0148468017578125
1024,1024,0,0,0,3.0162811279296875
1024,1024,0,0,0,3.0187606811523438
1024,1024,0,0,0,3.0568647384643555
1024,1024,0,0,0,3.067803382873535
1024,1024,0,0,0,3.0894336700439453
1024,1024,0,0,0,3.09372615814209
1024,1024,0,0,0,3.1003265380859375
1024,1024,0,0,0,3.1055593490600586
1024,1024,0,0,0,3.110407829284668
1024,1024,0,0,0,3.112497329711914
1024,1024,0,0,0,3.132082939147949
1024,1024,0,0,0,3.187075614929199
1024,1024,0,0,0,3.2143802642822266
1024,1024,0,0,0,3.2220983505249023
1024,1024,0,0,0,3.2311716079711914
1024,1024,0,0,0,3.236666679382324
1024,1024,0,0,0,3.2521438598632812
1024,1024,0,0,0,3.2569761276245117
1024,1024,0,0,0,3.2670726776123047
1024,1024,0,0,0,3.279420852661133
1024,1024,0,0,0,3.280733108520508
1024,1024,0,0,0,3.283461570739746
1024,1024,0,0,0,3.2872705459594727
1024,1024,0,0,0,3.295701026916504
1024,1024,0,0,0,3.2981929779052734
1024,1024,0,0,0,3.3038902282714844
1024,1024,0,0,0,3.307906150817871
1024,1024,0,0,0,3.3102312088012695
1024,1024,0,0,0,3.3120803833007812
1024,1024,0,0,0,3.314525604248047
1024,1024,0,0,0,3.318963050842285
1024,1024,0,0,0,3.3205718994140625
1024,1024,0,0,0,3.322671890258789
1024,1024,0,0,0,3.325702667236328
1024,1024,0,0,0,3.341212272644043
1024,1024,0,0,0,3.354649543762207
1024,1024,0,0,0,3.36153507232666
1024,1024,0,0,0,3.3644447326660156
1024,1024,0,0,0,3.367842674255371
1024,1024,0,0,0,3.3691301345825195
1024,1024,0,0,0,3.3691482543945312
1024,1024,0,0,0,3.3706274032592773
1024,1024,0,0,0,3.37624454498291
1024,1024,0,0,0,3.382539749145508
1024,1024,0,0,0,3.3839502334594727
1024,1024,0,0,0,3.384127616882324
1024,1024,0,0,0,3.3841428756713867
1024,1024,0,0,0,3.38623046875
1024,1024,0,0,0,3.388089179992676
1024,1024,0,0,0,3.3930273056030273
1024,1024,0,0,0,3.394620895385742
1024,1024,0,0,0,3.397505760192871
1024,1024,0,0,0,3.3976497650146484
1024,1024,0,0,0,3.400967597961426
1024,1024,0,0,0,3.401315689086914
1024,1024,0,0,0,3.40572452545166
1024,1024,0,0,0,3.4087562561035156
1024,1024,0,0,0,3.4110841751098633
1024,1024,0,0,0,3.4125804901123047
1024,1024,0,0,0,3.4149208068847656
1024,1024,0,0,0,3.416743278503418
1024,1024,0,0,0,3.417616844177246
1024,1024,0,0,0,3.4180192947387695
1024,1024,0,0,0,3.4180965423583984
1024,1024,0,0,0,3.418642997741699
1024,1024,0,0,0,3.419858932495117
1024,1024,0,0,0,3.421110153198242
1024,1024,0,0,0,3.4225006103515625
1024,1024,0,0,0,3.427785873413086
1024,1024,0,0,0,3.4332094192504883
1024,1024,0,0,0,3.4363784790039062
1024,1024,0,0,0,3.4372005462646484
1024,1024,0,0,0,3.4379873275756836
1024,1024,0,0,0,3.4415769577026367
1024,1024,0,0,0,3.4438610076904297
1024,1024,0,0,0,3.44882869720459
1024,1024,0,0,0,3.4539899826049805
1024,1024,0,0,0,3.454273223876953
1024,1024,0,0,0,3.4547252655029297
1024,1024,0,0,0,3.46307373046875
1024,1024,0,0,0,3.4781322479248047
1024,1024,0,0,0,3.4795923233032227
1024,1024,0,0,0,3.4807796478271484
1024,1024,0,0,0,3.481201171875
1024,1024,0,0,0,3.4820261001586914
1024,1024,0,0,0,3.4828720092773438
1024,1024,0,0,0,3.4846935272216797
1024,1024,0,0,0,3.4860544204711914
1024,1024,0,0,0,3.4861888885498047
1024,1024,0,0,0,3.487826347351074
1024,1024,0,0,0,3.4883928298950195
1024,1024,0,0,0,3.4885692596435547
1024,1024,0,0,0,3.4893083572387695
1024,1024,0,0,0,3.4918861389160156
1024,1024,0,0,0,3.491898536682129
1024,1024,0,0,0,3.4919605255126953
1024,1024,0,0,0,3.4947614669799805
1024,1024,0,0,0,3.497492790222168
1024,1024,0,0,0,3.498663902282715
1024,1024,0,0,0,3.499627113342285
1024,1024,0,0,0,3.5036277770996094
1024,1024,0,0,0,3.5038509368896484
1024,1024,0,0,0,3.5059452056884766
1024,1024,0,0,0,3.5061111450195312
1024,1024,0,0,0,3.5071792602539062
1024,1024,0,0,0,3.5080957412719727
1024,1024,0,0,0,3.510857582092285
1024,1024,0,0,0,3.5118703842163086
1024,1024,0,0,0,3.5119094848632812
1024,1024,0,0,0,3.512089729309082
1024,1024,0,0,0,3.514838218688965
1024,1024,0,0,0,3.5158510208129883
1024,1024,0,0,0,3.516709327697754
1024,1024,0,0,0,3.517671585083008
1024,1024,0,0,0,3.517727851867676
1024,1024,0,0,0,3.519303321838379
1024,1024,0,0,0,3.5201187133789062
1024,1024,0,0,0,3.520658493041992
1024,1024,0,0,0,3.5216474533081055
1024,1024,0,0,0,3.5218067169189453
1024,1024,0,0,0,3.522838592529297
1024,1024,0,0,0,3.5235347747802734
1024,1024,0,0,0,3.5250911712646484
1024,1024,0,0,0,3.5259714126586914
1024,1024,0,0,0,3.5259904861450195
1024,1024,0,0,0,3.526395797729492
1024,1024,0,0,0,3.52691650390625
1024,1024,0,0,0,3.5274429321289062
1024,1024,0,0,0,3.5292320251464844
1024,1024,0,0,0,3.529665946960449
1024,1024,0,0,0,3.529752731323242
1024,1024,0,0,0,3.530888557434082
1024,1024,0,0,0,3.531487464904785
1024,1024,0,0,0,3.532345771789551
1024,1024,0,0,0,3.5330820083618164
1024,1024,0,0,0,3.533749580383301
1024,1024,0,0,0,3.5386743545532227
1024,1024,0,0,0,3.5391197204589844
1024,1024,0,0,0,3.540005683898926
1024,1024,0,0,0,3.5403738021850586
1024,1024,0,0,0,3.5416297912597656
1024,1024,0,0,0,3.542599678039551
1024,1024,0,0,0,3.5441761016845703
1024,1024,0,0,0,3.54541015625
1024,1024,0,0,0,3.547234535217285
1024,1024,0,0,0,3.5476293563842773
1024,1024,0,0,0,3.5495567321777344
1024,1024,0,0,0,3.551335334777832
1024,1024,0,0,0,3.5523605346679688
1024,1024,0,0,0,3.5531044006347656
1024,1024,0,0,0,3.5534143447875977
1024,1024,0,0,0,3.555143356323242
1024,1024,0,0,0,3.5606298446655273
1024,1024,0,0,0,3.5621862411499023
1024,1024,0,0,0,3.564103126525879
1024,1024,0,0,0,3.565244674682617
1024,1024,0,0,0,3.5676794052124023
1024,1024,0,0,0,3.5728397369384766
1024,1024,0,0,0,3.5732526779174805
1024,1024,0,0,0,3.588637351989746
1024,1024,0,0,0,3.589822769165039
1024,1024,0,0,0,3.5914478302001953
1024,1024,0,0,0,3.6057729721069336
1024,1024,0,0,0,3.6513214111328125
1024,1024,0,0,0,3.7670211791992188
1024,1024,0,0,0,4.10369873046875
1024,1024,0,0,0,4.20390510559082
1024,1024,0,0,0,4.221208572387695
1024,1024,0,0,0,4.357059478759766
1024,1024,0,0,0,7.516845703125
1024,1024,0,0,0,19.974870681762695
1024,1024,0,0,1,12.300259590148926
1024,1024,0,0,1,12.301529884338379
1024,1024,0,0,1,12.325119018554688
1024,1024,0,0,1,12.331615447998047
1024,1024,0,0,1,12.34322452545166
1024,1024,0,0,1,12.343598365783691
1024,1024,0,0,1,12.345166206359863
1024,1024,0,0,1,12.345654487609863
1024,1024,0,0,1,12.347667694091797
1024,1024,0,0,1,12.348122596740723
1024,1024,0,0,1,12.356247901916504
1024,1024,0,0,1,12.35743236541748
1024,1024,0,0,1,12.359745025634766
1024,1024,0,0,1,12.369192123413086
1024,1024,0,0,1,12.370901107788086
1024,1024,0,0,1,12.37859058380127
1024,1024,0,0,1,12.37938117980957
1024,1024,0,0,1,12.3800687789917
1024,1024,0,0,1,12.390158653259277
1024,1024,0,0,1,12.391573905944824
1024,1024,0,0,1,12.392656326293945
1024,1024,0,0,1,12.392735481262207
1024,1024,0,0,1,12.392911911010742
1024,1024,0,0,1,12.394379615783691
1024,1024,0,0,1,12.400927543640137
1024,1024,0,0,1,12.402268409729004
1024,1024,0,0,1,12.404252052307129
1024,1024,0,0,1,12.404664993286133
1024,1024,0,0,1,12.406753540039062
1024,1024,0,0,1,12.412005424499512
1024,1024,0,0,1,12.413253784179688
1024,1024,0,0,1,12.41710090637207
1024,1024,0,0,1,12.420119285583496
1024,1024,0,0,1,12.420426368713379
1024,1024,0,0,1,12.421141624450684
1024,1024,0,0,1,12.42120361328125
1024,1024,0,0,1,12.42149543762207
1024,1024,0,0,1,12.422307968139648
1024,1024,0,0,1,12.42335033416748
1024,1024,0,0,1,12.426106452941895
1024,1024,0,0,1,12.430025100708008
1024,1024,0,0,1,12.431604385375977
1024,1024,0,0,1,12.433473587036133
1024,1024,0,0,1,12.435168266296387
1024,1024,0,0,1,12.436580657958984
1024,1024,0,0,1,12.437257766723633
1024,1024,0,0,1,12.437751770019531
1024,1024,0,0,1,12.441926956176758
1024,1024,0,0,1,12.443679809570312
1024,1024,0,0,1,12.443697929382324
1024,1024,0,0,1,12.446484565734863
1024,1024,0,0,1,12.44780445098877
1024,1024,0,0,1,12.449524879455566
1024,1024,0,0,1,12.449908256530762
1024,1024,0,0,1,12.453171730041504
1024,1024,0,0,1,12.464227676391602
1024,1024,0,0,1,12.467781066894531
1024,1024,0,0,1,12.470884323120117
1024,1024,0,0,1,12.471644401550293
1024,1024,0,0,1,12.473840713500977
1024,1024,0,0,1,12.48562240600586
1024,1024,0,0,1,12.491539001464844
1024,1024,0,0,1,12.493057250976562
1024,1024,0,0,1,12.493250846862793
1024,1024,0,0,1,12.497249603271484
1024,1024,0,0,1,12.505024909973145
1024,1024,0,0,1,12.505778312683105
1024,1024,0,0,1,12.5186128616333
1024,1024,0,0,1,12.522855758666992
1024,1024,0,0,1,12.524985313415527
1024,1024,0,0,1,12.52985954284668
1024,1024,0,0,1,12.530838966369629
1024,1024,0,0,1,12.536060333251953
1024,1024,0,0,1,12.542448997497559
1024,1024,0,0,1,12.545744895935059
1024,1024,0,0,1,12.546521186828613
1024,1024,0,0,1,12.546844482421875
1024,1024,0,0,1,12.54891300201416
1024,1024,0,0,1,12.550688743591309
1024,1024,0,0,1,12.55251407623291
1024,1024,0,0,1,12.552793502807617
1024,1024,0,0,1,12.552886009216309
1024,1024,0,0,1,12.555858612060547
1024,1024,0,0,1,12.557848930358887
1024,1024,0,0,1,12.558292388916016
1024,1024,0,0,1,12.558850288391113
1024,1024,0,0,1,12.559473991394043
1024,1024,0,0,1,12.560689926147461
1024,1024,0,0,1,12.56289005279541
1024,1024,0,0,1,12.564208984375
1024,1024,0,0,1,12.564236640930176
1024,1024,0,0,1,12.568258285522461
1024,1024,0,0,1,12.572088241577148
1024,1024,0,0,1,12.5751314163208
1024,1024,0,0,1,12.576085090637207
1024,1024,0,0,1,12.576973915100098
1024,1024,0,0,1,12.577301979064941
1024,1024,0,0,1,12.57844352722168
1024,1024,0,0,1,12.578981399536133
1024,1024,0,0,1,12.58236026763916
1024,1024,0,0,1,12.584701538085938
1024,1024,0,0,1,12.58588981628418
1024,1024,0,0,1,12.587861061096191
1024,1024,0,0,1,12.590232849121094
1024,1024,0,0,1,12.594388008117676
1024,1024,0,0,1,12.59683609008789
1024,1024,0,0,1,12.603419303894043
1024,1024,0,0,1,12.60429859161377
1024,1024,0,0,1,12.610061645507812
1024,1024,0,0,1,12.612425804138184
1024,1024,0,0,1,12.613537788391113
1024,1024,0,0,1,12.615684509277344
1024,1024,0,0,1,12.621565818786621
1024,1024,0,0,1,12.622014999389648
1024,1024,0,0,1,12.622488975524902
1024,1024,0,0,1,12.62617301940918
1024,1024,0,0,1,12.627534866333008
1024,1024,0,0,1,12.632611274719238
1024,1024,0,0,1,12.633101463317871
1024,1024,0,0,1,12.643477439880371
1024,1024,0,0,1,12.647117614746094
1024,1024,0,0,1,12.64765453338623
1024,1024,0,0,1,12.65343952178955
1024,1024,0,0,1,12.656783103942871
1024,1024,0,0,1,12.657083511352539
1024,1024,0,0,1,12.674755096435547
1024,1024,0,0,1,12.686698913574219
1024,1024,0,0,1,12.695672035217285
1024,1024,0,0,1,12.69633960723877
1024,1024,0,0,1,12.70046329498291
1024,1024,0,0,1,12.716490745544434
1024,1024,0,0,1,12.729621887207031
1024,1024,0,0,1,12.735119819641113
1024,1024,0,0,1,12.736751556396484
1024,1024,0,0,1,12.740782737731934
1024,1024,0,0,1,12.757126808166504
1024,1024,0,0,1,12.759159088134766
1024,1024,0,0,1,12.760429382324219
1024,1024,0,0,1,12.76077651977539
1024,1024,0,0,1,12.763378143310547
1024,1024,0,0,1,12.763919830322266
1024,1024,0,0,1,12.773984909057617
1024,1024,0,0,1,12.784188270568848
1024,1024,0,0,1,12.803268432617188
1024,1024,0,0,1,12.813267707824707
1024,1024,0,0,1,12.815274238586426
1024,1024,0,0,1,12.82815170288086
1024,1024,0,0,1,12.844220161437988
1024,1024,0,0,1,12.85792064666748
1024,1024,0,0,1,12.912978172302246
1024,1024,0,0,1,13.070417404174805
1024,1024,0,0,1,13.081989288330078
1024,1024,0,0,1,13.093395233154297
1024,1024,0,0,1,13.244905471801758
1024,1024,0,0,1,13.261652946472168
1024,1024,0,0,1,13.461000442504883
1024,1024,0,0,1,13.513086318969727
1024,1024,0,0,1,13.519301414489746
1024,1024,0,0,1,13.563820838928223
1024,1024,0,0,1,13.5899019241333
1024,1024,0,0,1,13.785853385925293
1024,1024,0,0,1,13.842805862426758
1024,1024,0,0,1,14.063209533691406
1024,1024,0,0,1,14.245685577392578
1024,1024,0,0,1,14.331433296203613
1024,1024,0,0,1,14.48936939239502
1024,1024,0,0,1,14.501522064208984
1024,1024,0,0,1,14.600044250488281
1024,1024,0,0,1,14.606475830078125
1024,1024,0,0,1,14.9668607711792
1024,1024,0,0,1,15.02258014678955
1024,1024,0,0,1,15.848546981811523
1024,1024,0,0,1,15.85721206665039
1024,1024,0,0,1,16.111976623535156
1024,1024,0,0,1,17.559980392456055
1024,1024,0,0,1,18.89555549621582
1024,1024,0,0,1,25.566384315490723
1024,1024,0,0,1,40.870065689086914
1024,1024,0,0,1,54.65198230743408
1024,1024,0,1,0,12.305828094482422
1024,1024,0,1,0,12.31401538848877
1024,1024,0,1,0,12.340036392211914
1024,1024,0,1,0,12.345768928527832
1024,1024,0,1,0,12.3567476272583
1024,1024,0,1,0,12.356836318969727
1024,1024,0,1,0,12.357645988464355
1024,1024,0,1,0,12.362929344177246
1024,1024,0,1,0,12.36345386505127
1024,1024,0,1,0,12.367783546447754
1024,1024,0,1,0,12.36828327178955
1024,1024,0,1,0,12.369632720947266
1024,1024,0,1,0,12.370387077331543
1024,1024,0,1,0,12.374507904052734
1024,1024,0,1,0,12.377408027648926
1024,1024,0,1,0,12.38054370880127
1024,1024,0,1,0,12.380935668945312
1024,1024,0,1,0,12.393416404724121
1024,1024,0,1,0,12.394136428833008
1024,1024,0,1,0,12.39775276184082
1024,1024,0,1,0,12.398653984069824
1024,1024,0,1,0,12.40188980102539
1024,1024,0,1,0,12.402105331420898
1024,1024,0,1,0,12.404919624328613
1024,1024,0,1,0,12.405607223510742
1024,1024,0,1,0,12.407456398010254
1024,1024,0,1,0,12.407632827758789
1024,1024,0,1,0,12.41212272644043
1024,1024,0,1,0,12.412968635559082
1024,1024,0,1,0,12.414984703063965
1024,1024,0,1,0,12.416701316833496
1024,1024,0,1,0,12.416759490966797
1024,1024,0,1,0,12.41922664642334
1024,1024,0,1,0,12.42133903503418
1024,1024,0,1,0,12.421392440795898
1024,1024,0,1,0,12.42139720916748
1024,1024,0,1,0,12.423038482666016
1024,1024,0,1,0,12.427589416503906
1024,1024,0,1,0,12.428264617919922
1024,1024,0,1,0,12.432001113891602
1024,1024,0,1,0,12.432204246520996
1024,1024,0,1,0,12.43281364440918
1024,1024,0,1,0,12.43958854675293
1024,1024,0,1,0,12.44133472442627
1024,1024,0,1,0,12.444466590881348
1024,1024,0,1,0,12.447738647460938
1024,1024,0,1,0,12.448166847229004
1024,1024,0,1,0,12.451148986816406
1024,1024,0,1,0,12.452107429504395
1024,1024,0,1,0,12.45278549194336
1024,1024,0,1,0,12.454472541809082
1024,1024,0,1,0,12.456245422363281
1024,1024,0,1,0,12.460504531860352
1024,1024,0,1,0,12.460518836975098
1024,1024,0,1,0,12.462486267089844
1024,1024,0,1,0,12.466410636901855
1024,1024,0,1,0,12.481685638427734
1024,1024,0,1,0,12.482763290405273
1024,1024,0,1,0,12.484238624572754
1024,1024,0,1,0,12.486781120300293
1024,1024,0,1,0,12.491694450378418
1024,1024,0,1,0,12.497894287109375
1024,1024,0,1,0,12.497957229614258
1024,1024,0,1,0,12.499163627624512
1024,1024,0,1,0,12.505449295043945
1024,1024,0,1,0,12.50602912902832
1024,1024,0,1,0,12.508373260498047
1024,1024,0,1,0,12.51498794555664
1024,1024,0,1,0,12.518898010253906
1024,1024,0,1,0,12.519359588623047
1024,1024,0,1,0,12.521438598632812
1024,1024,0,1,0,12.522714614868164
1024,1024,0,1,0,12.529105186462402
1024,1024,0,1,0,12.531416893005371
1024,1024,0,1,0,12.531500816345215
1024,1024,0,1,0,12.53222370147705
1024,1024,0,1,0,12.537388801574707
1024,1024,0,1,0,12.54127025604248
1024,1024,0,1,0,12.544439315795898
1024,1024,0,1,0,12.545233726501465
