Size,Repeat,Submit CB,Start CB,Complete CB,Time (ns)
1024,1024,0,0,0,17.85994815826416
1024,1024,0,0,0,17.874311447143555
1024,1024,0,0,0,17.876957893371582
1024,1024,0,0,0,17.877925872802734
1024,1024,0,0,0,17.881437301635742
1024,1024,0,0,0,17.88385772705078
1024,1024,0,0,0,17.895191192626953
1024,1024,0,0,0,17.901548385620117
1024,1024,0,0,0,17.903285026550293
1024,1024,0,0,0,17.90728187561035
1024,1024,0,0,0,17.90753936767578
1024,1024,0,0,0,17.912501335144043
1024,1024,0,0,0,17.917123794555664
1024,1024,0,0,0,17.91721248626709
1024,1024,0,0,0,17.91860008239746
1024,1024,0,0,0,17.9191951751709
1024,1024,0,0,0,17.920836448669434
1024,1024,0,0,0,17.921398162841797
1024,1024,0,0,0,17.925024032592773
1024,1024,0,0,0,17.92604637145996
1024,1024,0,0,0,17.92843723297119
1024,1024,0,0,0,17.9301815032959
1024,1024,0,0,0,17.93035125732422
1024,1024,0,0,0,17.93081283569336
1024,1024,0,0,0,17.93204975128174
1024,1024,0,0,0,17.93354320526123
1024,1024,0,0,0,17.935097694396973
1024,1024,0,0,0,17.935304641723633
1024,1024,0,0,0,17.936184883117676
1024,1024,0,0,0,17.93885898590088
1024,1024,0,0,0,17.94054889678955
1024,1024,0,0,0,17.940988540649414
1024,1024,0,0,0,17.94212818145752
1024,1024,0,0,0,17.94482421875
1024,1024,0,0,0,17.944985389709473
1024,1024,0,0,0,17.945984840393066
1024,1024,0,0,0,17.949515342712402
1024,1024,0,0,0,17.950836181640625
1024,1024,0,0,0,17.953661918640137
1024,1024,0,0,0,17.957865715026855
1024,1024,0,0,0,17.958069801330566
1024,1024,0,0,0,17.958694458007812
1024,1024,0,0,0,17.959240913391113
1024,1024,0,0,0,17.95936870574951
1024,1024,0,0,0,17.959843635559082
1024,1024,0,0,0,17.96002769470215
1024,1024,0,0,0,17.963455200195312
1024,1024,0,0,0,17.964176177978516
1024,1024,0,0,0,17.967052459716797
1024,1024,0,0,0,17.971189498901367
1024,1024,0,0,0,17.973198890686035
1024,1024,0,0,0,17.973254203796387
1024,1024,0,0,0,17.974401473999023
1024,1024,0,0,0,17.976070404052734
1024,1024,0,0,0,17.980504989624023
1024,1024,0,0,0,17.98188877105713
1024,1024,0,0,0,17.984220504760742
1024,1024,0,0,0,17.984305381774902
1024,1024,0,0,0,17.985595703125
1024,1024,0,0,0,17.985965728759766
1024,1024,0,0,0,17.986717224121094
